Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1508790,,,,1508790,,1516752,,,4
H2,2003,2003,2003,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1649,,,,1649,,4565,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2990,,,,2990,,19353,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30,,,,30,,117,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100,,,,100,,595,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1176,,,,1176,,10516,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,59615,,,,59615,,139885,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4428,,,,4428,,9177,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,103757,,,,103757,,126734,,,4
H2,2003,2003,2003,4,0,2,Export,8,Albania,ALB,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1440,,,,1440,,3330,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1159914,,,,1159914,,1031347,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10149,,,,10149,,14173,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,541,,,,541,,2468,,,4
H2,2003,2003,2003,4,0,2,Export,8,Albania,ALB,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,209,,,,209,,1235,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,694,Sierra Leone,SLE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,900,,1266,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5345,,,,5345,,9006,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3375,,,,3375,,8906,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20478,,,,20478,,28188,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1260,,,,1260,,3019,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18463,,,,18463,,25968,,,4
H2,2003,2003,2003,4,0,1,Import,8,Albania,ALB,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,116269,,,,116269,,86034,,,4
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1144330,,,,1228784,,1825849,,,0
H2,2004,2004,2004,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1818,,,,1800,,7777,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10125,,,,10125,,20360,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15704,,,,12435,,28854,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,522,,,,522,,1776,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20,,,,20,,52,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,84101,,,,88829,,185739,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9765,,,,9825,,16187,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,121941,,,,136286,,194235,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,674644,,,,745699,,1096197,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6651,,,,6652,,10060,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12833,,,,13467,,27501,,,0
H2,2004,2004,2004,4,0,2,Export,8,Albania,ALB,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1818,,,,1800,,7777,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,159947,,,,158106,,178092,,,0
H2,2004,2004,2004,4,0,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48079,,,,46818,,66797,,,0
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,292081,,,,292081,,314890,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1029,,,,1029,,2708,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,191,Croatia,HRV,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,126,,,,126,,144,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,180,,,,180,,1239,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15857,,,,15857,,30055,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,60,,,,60,,203,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,300,Greece,GRC,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,44138,,,,44138,,39487,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,186462,,,,186462,,201930,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,855,,,,855,,1719,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,50,,,,50,,1411,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,792,Turkey,TUR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2394,,,,2394,,3923,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,25473,,,,25473,,15497,,,4
H1,2000,2000,2000,4,0,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15457,,,,15457,,16574,,,4
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,429001,,,,429001,,620515,,,4
H1,2001,2001,2001,4,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5000,,,,5000,,30831,,,4
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5012,,,,5012,,10351,,,4
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,112,Belarus,BLR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,900,,,,900,,1161,,,4
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,203,Czechia,CZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,267,,,,267,,184,,,4
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,103,,,,103,,675,,,4
