Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6090201,,,,6090201,,2167958,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4028580,,,,4028580,,4369087,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,78246,,,,78246,,157143,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,842,,,,842,,2356,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26082,,,,26082,,41319,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,885511,,,,885511,,458973,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3476376,,,,3476376,,3860548,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8694,,,,8694,,17791,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1665202,,,,1665202,,606122,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,270,,,,270,,141,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,62,,,,62,,3121,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3538120,,,,3538120,,1091665,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,375,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,413523,,,,413523,,245285,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,366,,,,366,,4983,,,2
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,58,,,,58,,362,,,2
H2,2002,2002,2002,4,0,2,Export,12,Algeria,DZA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25389,,,,25389,,46861,,,2
H2,2003,2003,2003,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7934663,,,,7934663,,2740016,,,2
H2,2003,2003,2003,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2029620,,,,2029620,,3368077,,,2
H2,2003,2003,2003,4,0,1,Import,12,Algeria,DZA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,108,,,,108,,138,,,2
H2,2003,2003,2003,4,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52020,,,,52020,,128720,,,2
H2,2003,2003,2003,4,0,1,Import,12,Algeria,DZA,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,889,,,,889,,3716,,,2
