Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4482028,,,,4615357,,11672234,,,2
H2,2002,2002,2002,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4320,,,,4320,,65947,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,172,,,,180,,445,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,417,,,,134,,1081,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,67,,,,26,,174,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2586,,,,199,,6695,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5380,,,,3447,,14896,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20,,,,22,,53,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,834407,,,,367120,,2477435,,,2
H2,2002,2002,2002,4,0,2,Export,20,Andorra,AND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4320,,,,4320,,65947,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,410,,,,199,,1061,,,2
H2,2002,2002,2002,4,0,1,Import,20,Andorra,AND,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1439,,,,1492,,3725,,,2
