Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,101232356,,,,101232356,,131651436,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,100,,,,100,,118,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1619641,,,,1619641,,1707542,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,14984,,,,14984,,56976,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,92431,,,,92431,,141685,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,215834,,,,215834,,525899,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1507643,,,,1507643,,2799066,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,61272,,,,61272,,54473,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,110,,,,110,,1530,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,232,Eritrea,ERI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,15211,,,,15211,,43277,,,2
H3,2009,2009,2009,4,0,1,Import,24,Angola,AGO,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,597794,,,,597794,,2879857,,,2
