Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1484440,,,,1484440,,2252474,,,2
H1,2000,2000,2000,4,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2494,,,,2494,,9510,,,2
H1,2000,2000,2000,4,0,3,Re-Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2494,,,,2494,,9510,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19152,,,,19152,,43618,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4547,,,,4547,,8585,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,557,,,,557,,1063,,,2
H1,2000,2000,2000,4,0,2,Export,28,Antigua and Barbuda,ATG,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,86,,,,86,,344,,,2
H1,2000,2000,2000,4,0,3,Re-Export,28,Antigua and Barbuda,ATG,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,86,,,,86,,344,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,84,Belize,BLZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18065,,,,18065,,2768,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,350,,,,350,,3511,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,63998,,,,63998,,139233,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15894,,,,15894,,26031,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,170,Colombia,COL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1216,,,,1216,,3920,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,214,Dominican Rep.,DOM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7,,,,7,,8,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,330501,,,,330501,,928068,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4154,,,,4154,,26204,,,2
H1,2000,2000,2000,4,0,2,Export,28,Antigua and Barbuda,ATG,308,Grenada,GRD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,375,,,,375,,1987,,,2
H1,2000,2000,2000,4,0,3,Re-Export,28,Antigua and Barbuda,ATG,308,Grenada,GRD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,375,,,,375,,1987,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,328,Guyana,GUY,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,452,,,,452,,584,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,58556,,,,58556,,100083,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,388,Jamaica,JAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,23971,,,,23971,,31761,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,484,Mexico,MEX,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34,,,,34,,465,,,2
H1,2000,2000,2000,4,0,2,Export,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1400,,,,1400,,5757,,,2
H1,2000,2000,2000,4,0,3,Re-Export,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1400,,,,1400,,5757,,,2
H1,2000,2000,2000,4,0,1,Import,28,Antigua and Barbuda,ATG,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13774,,,,13774,,111580,,,2
H1,2000,2000,2000,4,0,2,Export,28,Antigua and Barbuda,ATG,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8,,,,8,,39,,,2
H1,2000,2000,2000,4,0,3,Re-Export,28,Antigua and Barbuda,ATG,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8,,,,8,,39,,,2
