Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,701141,,,,674627,,1796049,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,67212572,,,,140582618,,131356265,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14580,,,,115125,,13218,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2764,,,,2394,,7130,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,511,,,,41,,728,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20242,,,,30042,,35141,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13047,,,,17676,,46658,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,183459,,,,132957,,464663,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3955,,,,3168,,10203,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5999,,,,4442,,15476,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26207,,,,304,,24009,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,591505,,,,607224,,1411776,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,150818,,,,247280,,318469,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38,,,,8,,127,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2765571,,,,4224077,,6987893,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,104,Myanmar,MMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,61,,,,60,,157,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,69,,41,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3524708,,,,5106146,,6675844,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44353,,,,36171,,79941,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,503618,,,,3056565,,824424,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,752509,,,,3530853,,805634,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,296363,,,,2136792,,602573,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,62658,,,,95406,,161387,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14566,,,,12123,,37578,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94496,,,,430951,,140348,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2674383,,,,3660934,,5429272,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46225,,,,55895,,125229,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,218,Ecuador,ECU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,110557,,,,169091,,285939,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,222,El Salvador,SLV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13350,,,,13961,,35047,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,75360,,,,109509,,194415,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,524557,,,,578015,,1020823,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,174955,,,,13494,,461662,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1239859,,,,1566021,,2291748,,,2
H2,2002,2002,2002,4,0,1,Import,32,Argentina,ARG,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10998,,,,23435,,39321,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2680817,,,,3703329,,4279257,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1859,,,,1534,,4797,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,320,Guatemala,GTM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46736,,,,67346,,128299,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,328,Guyana,GUY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1465,,,,1890,,3780,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,340,Honduras,HND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9697,,,,8468,,31695,,,2
H2,2002,2002,2002,4,0,2,Export,32,Argentina,ARG,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,93506,,,,67242,,241229,,,2
