Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21454,,,,21454,,48259,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,216187,,,,361210,,362982,,,0
H2,2003,2003,2003,4,0,3,Re-Export,51,Armenia,ARM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26,,,,39,,231,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,810,,,,1285,,1350,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8991,,,,14746,,18688,,,0
H2,2003,2003,2003,4,0,1,Import,51,Armenia,ARM,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7931,,,,7931,,9890,,,0
H2,2003,2003,2003,4,0,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1485,,,,1485,,8475,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,261,,,,462,,1108,,,0
H2,2003,2003,2003,4,0,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3774,,,,3774,,16553,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24378,,,,24740,,6067,,,0
H2,2003,2003,2003,4,0,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4050,,,,4050,,4253,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15,,,,29,,48,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,864,,,,1558,,2069,,,0
H2,2003,2003,2003,4,0,2,Export,51,Armenia,ARM,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4872,,,,8006,,5568,,,0
H2,2003,2003,2003,4,0,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1428,,,,1428,,5635,,,0
