Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,1695650,,4831933,,,0
H2,2002,2002,2002,4,0,2,Export,533,Aruba,ABW,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,289580,,629715,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,10740,,,,10740,,23106,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1720,,,,1720,,12436,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,20,,,,20,,95,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,13900,,,,13900,,26933,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,332550,,,,332550,,616592,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,120,,,,120,,212,,,0
H2,2002,2002,2002,4,0,2,Export,533,Aruba,ABW,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,196530,,,,196530,,415257,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,140,,,,140,,363,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,192980,,,,192980,,670112,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,110,,,,110,,648,,,0
H2,2002,2002,2002,4,0,1,Import,533,Aruba,ABW,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,330,,,,330,,743,,,0
