Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16230049,,,,32282587,,76536053,,,4
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,471495766,,,,1332637971,,1273309826,,,0
H2,2002,2002,2002,4,0,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1736771,,,,1823554,,3046798,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4068,,,,7209,,12121,,,0
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8136,,,,13069,,22536,,,0
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1736771,,,,1823554,,3046798,,,0
H2,2002,2002,2002,4,0,4,Re-Import,36,Australia,AUS,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1736771,,,,1823554,,3046798,,,0
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9959,,,,18987,,71235,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,527661,,,,858513,,1827042,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16763,,,,22061,,101501,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,173935,,,,1283704,,241587,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11967,,,,18159,,34999,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20637,,,,35776,,84088,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4785859,,,,6110526,,9206394,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,49862,,,,84894,,194084,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,64,Bhutan,BTN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5400,,,,10200,,21511,,,0
H2,2002,2002,2002,4,0,1,Import,36,Australia,AUS,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1662,,,,3333,,4244,,,0
H2,2002,2002,2002,4,0,2,Export,36,Australia,AUS,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,154995,,,,240613,,544743,,,0
