Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,62540029,,,,62540029,,129429063,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,80447942,,,,80447942,,56802252,,,6
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,500,,,,500,,5397,,,2
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,404,,,,404,,1281,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,800,,,,800,,1431,,,2
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,204314,,,,204314,,574767,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41000,,,,41000,,46286,,,2
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,906778,,,,906778,,3886516,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22400,,,,22400,,84756,,,6
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,500,,,,500,,1661,,,2
H2,2002,2002,2002,4,0,1,Import,40,Austria,AUT,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14900,,,,14900,,20458,,,2
H2,2002,2002,2002,4,0,2,Export,40,Austria,AUT,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101400,,,,101400,,197158,,,2
