Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1054877,,,,1054980,,876554,,,0
H2,2004,2004,2004,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,442578,,,,496418,,275207,,,0
H2,2004,2004,2004,4,0,2,Export,31,Azerbaijan,AZE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,132,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1503,,,,1503,,3380,,,0
H2,2004,2004,2004,4,0,2,Export,31,Azerbaijan,AZE,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6300,,,,6300,,10920,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,158,,1091,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54127,,,,54130,,143274,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27266,,,,27266,,103511,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18139,,,,18171,,151688,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,364,Iran,IRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18000,,,,18000,,7800,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,809478,,,,809478,,365273,,,0
H2,2004,2004,2004,4,0,2,Export,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,215343,,,,269071,,186631,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,352,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19377,,,,19377,,43197,,,0
H2,2004,2004,2004,4,0,2,Export,31,Azerbaijan,AZE,795,Turkmenistan,TKM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,220800,,,,220800,,77280,,,0
H2,2004,2004,2004,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,106807,,,,106807,,56988,,,0
H2,2004,2004,2004,4,0,2,Export,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,85,,,,197,,244,,,0
H1,2000,2000,2000,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27938,,,,27938,,29813,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2138962,,,,2138962,,320289,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,906,,,,906,,3508,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,112,Belarus,BLR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,190000,,,,190000,,90820,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,233,Estonia,EST,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,145000,,,,145000,,10860,,,0
H1,2000,2000,2000,4,0,1,Import,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15759,,,,15759,,16755,,,0
H1,2000,2000,2000,4,0,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9000,,,,9000,,8400,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,268,Georgia,GEO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,38850,,,,38850,,4507,,,0
H1,2000,2000,2000,4,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,834,,,,834,,830,,,0
H1,2000,2000,2000,4,0,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5,,,,5,,57,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1764120,,,,1764120,,210331,,,0
H1,2000,2000,2000,4,0,2,Export,31,Azerbaijan,AZE,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,86,,,,86,,263,,,0
H1,2000,2000,2000,4,0,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2340,,,,2340,,3770,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34164,,,,34166,,38045,,,0
H1,2001,2001,2001,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1487400,,,,1498400,,360266,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20127,,,,20128,,21893,,,0
H1,2001,2001,2001,4,0,2,Export,31,Azerbaijan,AZE,268,Georgia,GEO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1091070,,,,1091070,,294589,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13658,,,,13658,,14340,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,2,,31,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,378,,,,378,,1781,,,0
H1,2001,2001,2001,4,0,2,Export,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,387330,,,,387330,,48605,,,0
