Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1445102,,,,1444087,,4419642,,,0
H2,2002,2002,2002,4,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8734,,,,8734,,66330,,,0
H2,2002,2002,2002,4,0,3,Re-Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8734,,,,8734,,66330,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,247,,,,247,,987,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,360057,,,,358975,,619201,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,819,,,,819,,2848,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,73,,,,73,,176,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17657,,,,17657,,62292,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,548518,,,,548590,,2272972,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2825,,,,2825,,8191,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2676,,,,2676,,17210,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,164371,,,,164371,,444760,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5490,,,,5490,,27769,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,295,,,,295,,3112,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1134,,,,1134,,4370,,,0
H2,2002,2002,2002,4,0,1,Import,48,Bahrain,BHR,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,535,,,,548,,1840,,,0
