Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107939,,,,107939,,469706,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11475,,,,11475,,33617,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2400,,,,2400,,5836,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600,,,,600,,4604,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4080,,,,4080,,12357,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1821,,,,1821,,2082,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48555,,,,48555,,239287,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14607,,,,14607,,39435,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3654,,,,3654,,13866,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,562,Niger,NER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,675,,,,675,,4095,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,586,Pakistan,PAK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,150,,,,150,,1311,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,6,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3049,,,,3049,,12707,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,900,,3445,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,450,,2436,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13010,,,,13010,,84811,,,4
H2,2002,2002,2002,4,0,1,Import,50,Bangladesh,BGD,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2505,,,,2505,,9813,,,4
H2,2003,2003,2003,4,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,146441,,,,344703,,630366,,,6
H2,2003,2003,2003,4,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,53,,60,,,6
H2,2003,2003,2003,4,0,1,Import,50,Bangladesh,BGD,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25282,,,,34930,,82568,,,6
H2,2003,2003,2003,4,0,1,Import,50,Bangladesh,BGD,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1944,,,,4027,,12243,,,6
