Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1109714,,,,1681975,,6079310,,,0
H1,2000,2000,2000,4,0,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,51877,,,,71635,,224921,,,4
H1,2000,2000,2000,4,0,3,Re-Export,52,Barbados,BRB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,51847,,,,71602,,224789,,,4
H1,2000,2000,2000,4,0,1,Import,52,Barbados,BRB,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,45,,,,12,,201,,,0
H1,2000,2000,2000,4,0,2,Export,52,Barbados,BRB,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,558,,,,777,,5990,,,4
H1,2000,2000,2000,4,0,3,Re-Export,52,Barbados,BRB,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,558,,,,777,,5990,,,4
H1,2000,2000,2000,4,0,1,Import,52,Barbados,BRB,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,281,,,,893,,5444,,,0
H1,2000,2000,2000,4,0,1,Import,52,Barbados,BRB,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,41697,,,,68505,,241273,,,0
H1,2000,2000,2000,4,0,2,Export,52,Barbados,BRB,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,270,,,,502,,2524,,,0
H1,2000,2000,2000,4,0,3,Re-Export,52,Barbados,BRB,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,270,,,,502,,2524,,,0
H1,2000,2000,2000,4,0,1,Import,52,Barbados,BRB,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,17,,99,,,0
H1,2000,2000,2000,4,0,2,Export,52,Barbados,BRB,44,Bahamas,BHS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,521,,,,1027,,2659,,,4
