Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27682167,,,,28030737,,23542900,,,0
H2,2002,2002,2002,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2455656,,,,2473823,,3278400,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8510,,,,9568,,31700,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2786,,,,4040,,6200,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41,,,,43,,200,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3375,,,,5715,,9100,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1764,,,,1764,,5700,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1251156,,,,1356553,,1456700,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22793,,,,24765,,86600,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53880,,,,53880,,65100,,,0
H2,2002,2002,2002,4,0,1,Import,112,Belarus,BLR,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9500,,,,9500,,15300,,,0
