Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,326982886,,,,,,744756771,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29200272,,,,,,75418867,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,123743,,,,,,320388,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10020,,,,,,39127,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4001,,,,,,10323,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5633,,,,,,14533,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,810952,,,,,,1717093,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3498436,,,,,,6672465,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2577,,,,,,6648,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94146,,,,,,196016,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,93902,,,,,,242250,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,347,,,,,,896,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,373,,,,,,965,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2469,,,,,,7012,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,369069,,,,,,742944,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26879,,,,,,23596,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,108,Burundi,BDI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34033,,,,,,87929,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1307,,,,,,4395,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2925,,,,,,8511,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10518,,,,,,27833,,,2
H2,2002,2002,2002,4,0,2,Export,56,Belgium,BEL,132,Cabo Verde,CPV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,985,,,,,,3846,,,2
H2,2002,2002,2002,4,0,1,Import,56,Belgium,BEL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4171898,,,,,,8500763,,,2
