Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,172699,,,,172699,,868717,,,4
H1,2000,2000,2000,4,0,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2109,,,,2109,,20432,,,4
H1,2000,2000,2000,4,0,3,Re-Export,84,Belize,BLZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2096,,,,2096,,20364,,,4
H1,2000,2000,2000,4,0,1,Import,84,Belize,BLZ,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,22276,,,,22276,,60287,,,4
H1,2000,2000,2000,4,0,1,Import,84,Belize,BLZ,218,Ecuador,ECU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,423,,,,423,,1530,,,4
H1,2000,2000,2000,4,0,1,Import,84,Belize,BLZ,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15249,,,,15249,,178529,,,4
H1,2000,2000,2000,4,0,2,Export,84,Belize,BLZ,320,Guatemala,GTM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,105,,,,105,,1123,,,4
H1,2000,2000,2000,4,0,3,Re-Export,84,Belize,BLZ,320,Guatemala,GTM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,105,,,,105,,1123,,,4
H1,2000,2000,2000,4,0,1,Import,84,Belize,BLZ,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16947,,,,16947,,41750,,,4
H1,2000,2000,2000,4,0,1,Import,84,Belize,BLZ,388,Jamaica,JAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,62383,,,,62383,,326262,,,4
