Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2961984,,,,2961984,,1661124,,,2
H1,2000,2000,2000,4,0,2,Export,204,Benin,BEN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6920,,,,6920,,29767,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8486,,,,8486,,3667,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,95,,,,95,,50,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,60,,,,60,,522,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,629648,,,,629648,,886531,,,2
H1,2000,2000,2000,4,0,2,Export,204,Benin,BEN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6909,,,,6909,,29743,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,118498,,,,118498,,48480,,,2
H1,2000,2000,2000,4,0,2,Export,204,Benin,BEN,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,11,,,,11,,24,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1500,,,,1500,,1151,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,643,Russian Federation,RUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2372,,,,2372,,3296,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,26465,,,,26465,,12575,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2173960,,,,2173960,,703403,,,2
H1,2000,2000,2000,4,0,1,Import,204,Benin,BEN,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,900,,,,900,,1450,,,2
H1,2001,2001,2001,4,0,1,Import,204,Benin,BEN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,948130,,,,,,1887355,,,2
H1,2001,2001,2001,4,0,2,Export,204,Benin,BEN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,314788,,,,,,371182,,,2
H1,2001,2001,2001,4,0,1,Import,204,Benin,BEN,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14441,,,,,,14022,,,2
H1,2001,2001,2001,4,0,1,Import,204,Benin,BEN,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2113,,,,,,5213,,,2
H1,2001,2001,2001,4,0,1,Import,204,Benin,BEN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,512724,,,,,,992392,,,2
H1,2001,2001,2001,4,0,2,Export,204,Benin,BEN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15210,,,,,,22365,,,2
H1,2001,2001,2001,4,0,2,Export,204,Benin,BEN,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3210,,,,,,11308,,,2
