Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,3276554,,21645702,,,0
H2,2005,2005,2005,4,0,4,Re-Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,1572,,9699,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,135,,,,135,,389,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,188793,,,,188793,,1105546,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,513,,,,513,,2295,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1572,,,,1572,,9699,,,0
H2,2005,2005,2005,4,0,4,Re-Import,60,Bermuda,BMU,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1572,,,,1572,,9699,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,17,,,,17,,196,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,279,,,,279,,6945,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,159350,,,,159350,,651566,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,126,,,,126,,542,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,321545,,,,321545,,4850370,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,17278,,,,17278,,125853,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,304,Greenland,GRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,4,,,,4,,80,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,458415,,,,458415,,3724578,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,805,,,,805,,4453,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,10168,,,,10168,,171812,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,78669,,,,78669,,624305,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,37915,,,,37915,,344084,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,882,,,,882,,5615,,,0
H2,2005,2005,2005,4,0,1,Import,60,Bermuda,BMU,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,43565,,,,43565,,209135,,,0
