Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,139344,,,,139344,,193456,,,4
H3,2007,2007,2007,4,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,100,,,,100,,97,,,4
H3,2007,2007,2007,4,0,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,90153,,,,90153,,97569,,,4
H3,2007,2007,2007,4,0,2,Export,64,Bhutan,BTN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,100,,,,100,,97,,,4
H3,2007,2007,2007,4,0,1,Import,64,Bhutan,BTN,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,4098,,,,4098,,41932,,,4
H3,2007,2007,2007,4,0,1,Import,64,Bhutan,BTN,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,45093,,,,45093,,53955,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,684520,,,,739171,,498535,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,20,,,,20,,1686,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,20,,,,20,,7704,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,159645,,,,159645,,297757,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,3455,,,,58105,,77462,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1,,,,1,,245,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,512798,,,,512798,,104092,,,4
H3,2008,2008,2008,4,0,1,Import,64,Bhutan,BTN,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,8581,,,,8581,,9590,,,4
H3,2009,2009,2009,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,508847,,,,508847,,456832,,,4
H3,2009,2009,2009,4,0,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,234147,,,,234147,,391401,,,4
H3,2009,2009,2009,4,0,1,Import,64,Bhutan,BTN,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,225,,,,225,,77,,,4
H3,2009,2009,2009,4,0,1,Import,64,Bhutan,BTN,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,9,,,,9,,369,,,4
H3,2009,2009,2009,4,0,1,Import,64,Bhutan,BTN,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,258986,,,,258986,,51040,,,4
H3,2009,2009,2009,4,0,1,Import,64,Bhutan,BTN,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,15480,,,,15480,,13945,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33371,,,,33371,,100434,,,4
H2,2005,2005,2005,4,0,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,24,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,324,,,,324,,6052,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,661,,,,661,,5357,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8989,,,,8989,,8637,,,4
H2,2005,2005,2005,4,0,2,Export,64,Bhutan,BTN,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,24,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,204,,,,204,,8989,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16314,,,,16314,,20497,,,4
H2,2005,2005,2005,4,0,1,Import,64,Bhutan,BTN,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6879,,,,6879,,50903,,,4
