Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,326733,,,,326733,,518477,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5046,,,,5046,,17891,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,218219,,,,218219,,298365,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,201,,,,201,,914,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,848,,,,848,,1933,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4867,,,,4867,,5724,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29474,,,,29474,,49916,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,57,,,,57,,276,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,568,,,,568,,536,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,400,,,,400,,946,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28397,,,,28397,,50297,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,126,,,,126,,462,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1467,,,,1467,,3246,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,534,,,,534,,1391,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8440,,,,8440,,19829,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,381,,,,381,,1079,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,600,Paraguay,PRY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,175,,,,175,,662,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,153,,,,153,,572,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18563,,,,18563,,54837,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19,,,,19,,132,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,134,,,,134,,385,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6937,,,,6937,,8405,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,307,,,,307,,2225,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2668,,,,2668,,4636,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,862,Venezuela,VEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,357,,,,357,,1319,,,2
H2,2002,2002,2002,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7806,,,,7806,,23694,,,2
H2,2002,2002,2002,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,681,,,,681,,4587,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,594394,,,,594394,,741063,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29290,,,,29290,,64778,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,440596,,,,440596,,499789,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,70,,,,70,,507,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5798,,,,5798,,8377,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,190,,,,190,,1009,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,71351,,,,71351,,83573,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10543,,,,10543,,34408,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21089,,,,21089,,23520,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12300,,,,12300,,32969,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,408,Dem. People's Rep. of Korea,PRK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,455,,,,455,,862,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2113,,,,2113,,3303,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,354,,,,354,,763,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,16,,46,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,914,,,,914,,3270,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21900,,,,21900,,40000,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8818,,,,8818,,24368,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,286,,,,286,,2301,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3829,,,,3829,,6840,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15937,,,,15937,,18370,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5790,,,,5790,,15649,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101,,,,101,,380,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,862,Venezuela,VEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,666,,,,666,,3198,,,2
H2,2003,2003,2003,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,281,,,,281,,605,,,2
H2,2003,2003,2003,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,287,,,,287,,1734,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,578603,,,,578603,,933415,,,2
H2,2004,2004,2004,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46067,,,,46067,,61818,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,356692,,,,356692,,562285,,,2
H2,2004,2004,2004,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,697,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,79,,,,79,,1055,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3857,,,,3857,,5583,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,103390,,,,103390,,153161,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,35701,,,,35701,,81299,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9210,,,,9210,,6414,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10550,,,,10550,,31880,,,2
H2,2004,2004,2004,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,205,,,,205,,1115,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,745,,,,745,,2205,,,2
H2,2004,2004,2004,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41940,,,,41940,,46800,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22389,,,,22389,,44934,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,336,,,,336,,1252,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1079,,,,1079,,3812,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,927,,,,927,,3340,,,2
H2,2004,2004,2004,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,580,,,,580,,950,,,2
H2,2004,2004,2004,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33341,,,,33341,,35863,,,2
