Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3656625,,,,3656625,,7128700,,,2
H2,2003,2003,2003,4,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3493681,,,,3493681,,2786512,,,2
H2,2003,2003,2003,4,0,4,Re-Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23210,,,,23210,,11349,,,2
H2,2003,2003,2003,4,0,1,Import,70,Bosnia Herzegovina,BIH,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,207,,,,207,,814,,,2
H2,2003,2003,2003,4,0,1,Import,70,Bosnia Herzegovina,BIH,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,359,,,,359,,1189,,,2
H2,2003,2003,2003,4,0,2,Export,70,Bosnia Herzegovina,BIH,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,297,,,,297,,927,,,2
H2,2003,2003,2003,4,0,1,Import,70,Bosnia Herzegovina,BIH,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23210,,,,23210,,11349,,,2
H2,2003,2003,2003,4,0,4,Re-Import,70,Bosnia Herzegovina,BIH,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23210,,,,23210,,11349,,,2
H2,2003,2003,2003,4,0,1,Import,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1185569,,,,1185569,,3389848,,,2
H2,2003,2003,2003,4,0,2,Export,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3157134,,,,3157134,,2103037,,,2
