Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2974367,,,,2974367,,3383141,,,4
H1,2000,2000,2000,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,33032,,,,33032,,45027,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,424,,,,424,,743,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,222,,,,222,,6284,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,18,,534,,,4
H1,2000,2000,2000,4,0,2,Export,72,Botswana,BWA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,36,,,,36,,99,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,22,,,,22,,3742,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,372,Ireland,IRL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,9,,670,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,376,Israel,ISR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,18,,1990,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,72,,,,72,,7720,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,426,Lesotho,LSO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,656,,,,656,,1629,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,129,,,,129,,117,,,4
H1,2000,2000,2000,4,0,2,Export,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5697,,,,5697,,4490,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,9,,23,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2922176,,,,2922176,,3341068,,,4
H1,2000,2000,2000,4,0,2,Export,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,17754,,,,17754,,25227,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,50000,,,,50000,,571,,,4
H1,2000,2000,2000,4,0,2,Export,72,Botswana,BWA,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3497,,,,3497,,6035,,,4
H1,2000,2000,2000,4,0,1,Import,72,Botswana,BWA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,612,,,,612,,18050,,,4
H1,2000,2000,2000,4,0,2,Export,72,Botswana,BWA,894,Zambia,ZMB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6048,,,,6048,,9176,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2113197,,,,2113197,,2426841,,,4
H1,2001,2001,2001,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,42502,,,,42502,,23845,,,4
H1,2001,2001,2001,4,0,2,Export,72,Botswana,BWA,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3,,,,3,,26,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,63,,,,63,,1104,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,465,,,,465,,624,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,141,,,,141,,565,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,171,,,,171,,5320,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,38,,,,38,,715,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21877,,,,21877,,16025,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2089656,,,,2089656,,2368747,,,4
H1,2001,2001,2001,4,0,2,Export,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,38143,,,,38143,,13979,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,450,,,,450,,415,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,54,,,,54,,1351,,,4
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,282,,,,282,,31975,,,4
H1,2001,2001,2001,4,0,2,Export,72,Botswana,BWA,894,Zambia,ZMB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4356,,,,4356,,9839,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5439954,,,,5439954,,5756721,,,4
H1,2002,2002,2002,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,57220,,,,57220,,68707,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,20,Andorra,AND,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,1,,164,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,31,Azerbaijan,AZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,74,,,,74,,1719,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1257,,,,1257,,1021,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,121,,,,121,,3864,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,130407,,,,130407,,192036,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5307962,,,,5307962,,5525487,,,4
H1,2002,2002,2002,4,0,2,Export,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,42749,,,,42749,,45041,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,50,,,,50,,70,,,4
H1,2002,2002,2002,4,0,1,Import,72,Botswana,BWA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,82,,,,82,,32360,,,4
H1,2002,2002,2002,4,0,2,Export,72,Botswana,BWA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,30,,,,30,,526,,,4
H1,2002,2002,2002,4,0,2,Export,72,Botswana,BWA,894,Zambia,ZMB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14441,,,,14441,,23140,,,4
H1,2003,2003,2003,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3959756,,,,3959756,,8510237,,,4
H1,2003,2003,2003,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6797,,,,6797,,36686,,,4
H1,2003,2003,2003,4,0,1,Import,72,Botswana,BWA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2443,,,,2443,,1709,,,4
H1,2003,2003,2003,4,0,1,Import,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,112340,,,,112340,,145658,,,4
H1,2003,2003,2003,4,0,2,Export,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,1,,120,,,4
H1,2003,2003,2003,4,0,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3844924,,,,3844924,,8359032,,,4
H1,2003,2003,2003,4,0,2,Export,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,217,,,,217,,2699,,,4
H1,2003,2003,2003,4,0,2,Export,72,Botswana,BWA,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,10,,,,10,,147,,,4
H1,2003,2003,2003,4,0,1,Import,72,Botswana,BWA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,49,,,,49,,3839,,,4
H1,2003,2003,2003,4,0,2,Export,72,Botswana,BWA,894,Zambia,ZMB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6569,,,,6569,,33720,,,4
H1,2004,2004,2004,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2727119,,,,,,7459400,,,2
