Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25135188,,,,26129950,,58818799,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2449310,,,,2383380,,1180261,,,2
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2190,,,,9812,,5290,,,0
H2,2002,2002,2002,4,0,1,Import,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3827328,,,,3882764,,7162429,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,288,,,,466,,2858,,,0
H2,2002,2002,2002,4,0,1,Import,76,Brazil,BRA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,129934,,,,136598,,453891,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120,,,,120,,480,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,750,,,,1713,,6000,,,0
H2,2002,2002,2002,4,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5239,,,,9626,,13099,,,0
H2,2002,2002,2002,4,0,1,Import,76,Brazil,BRA,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5949454,,,,6171174,,12422152,,,0
