Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30440,,,,30440,,197606,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1001,,,,1001,,8493,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20173,,,,20173,,120619,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,588,,,,588,,7803,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,383,,,,383,,2380,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,122,,,,122,,1492,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17,,,,17,,126,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1362,,,,1362,,7218,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,225,,,,225,,2609,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,9,,113,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,162,,,,162,,4714,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,108,,,,108,,1235,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,45,,,,45,,652,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5984,,,,5984,,31852,,,4
H2,2004,2004,2004,4,0,1,Import,96,Brunei Darussalam,BRN,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,263,,,,263,,8299,,,4
H1,2002,2002,2002,4,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20779,,,,20779,,187671,,,0
H1,2002,2002,2002,4,0,1,Import,96,Brunei Darussalam,BRN,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12838,,,,12838,,86831,,,0
