Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4112459,,,,4115504,,1854676,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,78571839,,,,78784550,,61030743,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,398,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8300,,,,8199,,8921,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,41100,,,,40883,,26229,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1900,,,,2070,,7884,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2703,,,,2703,,3146,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2700,,,,117,,157,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100,,,,120,,871,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,98100,,,,98192,,111134,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101,,,,101,,411,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,75,,,,75,,212,,,2
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14400,,,,14243,,14854,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,558900,,,,554708,,563173,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1214900,,,,1229138,,1012589,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,758100,,,,755044,,840063,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6903,,,,6753,,10868,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14,,,,14,,57,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2700,,,,2856,,4360,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13200,,,,13184,,22586,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2514,,,,2572,,4196,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1548900,,,,1548201,,992144,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,69,,,2
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,548200,,,,548007,,562493,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1423700,,,,1426049,,1065337,,,0
H2,2002,2002,2002,4,0,2,Export,100,Bulgaria,BGR,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,513100,,,,511604,,572643,,,0
H2,2002,2002,2002,4,0,1,Import,100,Bulgaria,BGR,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,74900,,,,76964,,226281,,,0
