Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2003,2003,2003,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,168426,,,0
H1,2003,2003,2003,4,0,2,Export,108,Burundi,BDI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,149,,,0
H1,2003,2003,2003,4,0,1,Import,108,Burundi,BDI,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,63589,,,0
H1,2003,2003,2003,4,0,1,Import,108,Burundi,BDI,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,20538,,,0
H1,2003,2003,2003,4,0,1,Import,108,Burundi,BDI,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,1340,,,0
H1,2003,2003,2003,4,0,1,Import,108,Burundi,BDI,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,81291,,,0
H1,2003,2003,2003,4,0,1,Import,108,Burundi,BDI,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,1668,,,0
H1,2003,2003,2003,4,0,2,Export,108,Burundi,BDI,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,149,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,139113,,,,139113,,248032,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9062,,,,9062,,48088,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,29,,,,29,,565,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,10608,,,,10608,,32914,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15210,,,,15210,,45748,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,404,Kenya,KEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5062,,,,5062,,2115,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,480,Mauritius,MUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9375,,,,9375,,10729,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,171,,,,171,,1341,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,88062,,,,88062,,104742,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,113,,,,113,,996,,,0
H1,2004,2004,2004,4,0,1,Import,108,Burundi,BDI,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1421,,,,1421,,794,,,0
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,203740,,,,177912,,269294,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,90552,,,,51371,,116588,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,24490,,,,8549,,25250,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2358,,,,184,,2431,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,23166,,,,12775,,25963,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,20,,,,24,,51,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,454,Malawi,MWI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,3351,,,,12135,,8464,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,466,Mali,MLI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,773,,,,1600,,1953,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,542,,,,48,,559,,,2
H0,2000,2000,2000,4,0,1,Import,108,Burundi,BDI,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,33075,,,,59123,,36828,,,2
