Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2094793,,,,2094793,,1506684,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,86669,,,,86669,,84878,,,2
H1,2000,2000,2000,4,0,3,Re-Export,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8989,,,,8989,,42680,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,22703,,,,22703,,10692,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4130,,,,4130,,4755,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,53030,,,,53030,,48963,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,33,,,,33,,13,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1951343,,,,1951343,,1411320,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,76,,,,76,,283,,,2
H1,2000,2000,2000,4,0,3,Re-Export,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,76,,,,76,,283,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,624,Guinea-Bissau,GNB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,77680,,,,77680,,42198,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,670,Saint Vincent and the Grenadines,VCT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,9,,152,,,2
H1,2000,2000,2000,4,0,3,Re-Export,132,Cabo Verde,CPV,670,Saint Vincent and the Grenadines,VCT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,9,,152,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,686,Senegal,SEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,50,,,,50,,130,,,2
H1,2000,2000,2000,4,0,3,Re-Export,132,Cabo Verde,CPV,686,Senegal,SEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,50,,,,50,,130,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,205,,,,205,,491,,,2
H1,2000,2000,2000,4,0,1,Import,132,Cabo Verde,CPV,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,63349,,,,63349,,30451,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,812,,,,812,,650,,,2
H1,2000,2000,2000,4,0,3,Re-Export,132,Cabo Verde,CPV,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,812,,,,812,,650,,,2
H1,2000,2000,2000,4,0,2,Export,132,Cabo Verde,CPV,837,Bunkers,,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8042,,,,8042,,41466,,,2
