Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,164790,,,,420069,,506612,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19093,,,,23910,,54001,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,436,,,,205,,1443,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6286,,,,11533,,20801,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1760,,,,1107,,3366,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,472,,,,1350,,1561,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,102406,,,,285457,,289838,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,433,,,,1250,,1433,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3476,,,,4082,,5087,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1051,,,,2958,,4883,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28113,,,,84294,,120259,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,642,,,,2113,,2280,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,406,,,,1160,,1343,,,2
H2,2004,2004,2004,4,0,1,Import,116,Cambodia,KHM,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,217,,,,651,,318,,,2
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,494008,,,,494008,,455540,,,6
H1,2000,2000,2000,4,0,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15914,,,,15914,,12682,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34543,,,,34543,,40273,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1985,,,,1985,,3529,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,293565,,,,293565,,256567,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,348,Hungary,HUN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,30500,,,,30500,,18738,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,410,Rep. of Korea,KOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,180,,,,180,,298,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,458,Malaysia,MYS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,17243,,,,17243,,14543,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,484,Mexico,MEX,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4575,,,,4575,,5986,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,574,Norfolk Isds,NFK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1430,,,,1430,,5398,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,37465,,,,37465,,38990,,,6
H1,2000,2000,2000,4,0,2,Export,116,Cambodia,KHM,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15914,,,,15914,,12682,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,704,Viet Nam,VNM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1125,,,,1125,,1975,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,764,Thailand,THA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,90,,,,90,,81,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,29,,,,29,,72,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,70359,,,,70359,,68282,,,6
H1,2000,2000,2000,4,0,1,Import,116,Cambodia,KHM,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,920,,,,920,,808,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,473116,,,,473116,,513347,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,59276,,,,59276,,67969,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5972,,,,5972,,5545,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,314506,,,,314506,,292063,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,458,Malaysia,MYS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5146,,,,5146,,7948,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,74296,,,,74296,,128543,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3600,,,,3600,,4319,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,764,Thailand,THA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4320,,,,4320,,1505,,,6
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6000,,,,6000,,5455,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,453296,,,,453296,,430038,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,51442,,,,51442,,35120,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,398,,,,398,,6120,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,242,Fiji,FJI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,40,,,,40,,180,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,340929,,,,340929,,301888,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,408,,,,408,,2180,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,350,,,,350,,909,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,458,Malaysia,MYS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2026,,,,2026,,4096,,,6
H1,2002,2002,2002,4,0,1,Import,116,Cambodia,KHM,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,57703,,,,57703,,79545,,,6
