Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5750932,,,,5750932,,3917371,,,6
H1,2000,2000,2000,4,0,2,Export,120,Cameroon,CMR,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,596830,,,,596830,,295598,,,6
H1,2000,2000,2000,4,0,1,Import,120,Cameroon,CMR,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21,,,,21,,56,,,6
H1,2000,2000,2000,4,0,1,Import,120,Cameroon,CMR,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,33,,,,33,,63,,,6
H1,2000,2000,2000,4,0,2,Export,120,Cameroon,CMR,148,Chad,TCD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1000,,,,1000,,13936,,,6
H1,2000,2000,2000,4,0,2,Export,120,Cameroon,CMR,178,Congo,COG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,595010,,,,595010,,264227,,,6
H1,2000,2000,2000,4,0,1,Import,120,Cameroon,CMR,226,Equatorial Guinea,GNQ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,110035,,,,110035,,29486,,,6
H1,2000,2000,2000,4,0,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1022842,,,,1022842,,1721099,,,6
H1,2000,2000,2000,4,0,2,Export,120,Cameroon,CMR,266,Gabon,GAB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,820,,,,820,,17435,,,6
H1,2000,2000,2000,4,0,1,Import,120,Cameroon,CMR,300,Greece,GRC,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,621,,,,621,,1022,,,6
