Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,244503216,,,,244503216,,613453644,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2330604,,,,2330604,,9424243,,,4
H2,2002,2002,2002,4,0,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2608,,,,2608,,6784,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,178320,,,,178320,,383704,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,148,,,,148,,555,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2422754,,,,2422754,,5969925,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25176216,,,,25176216,,88862917,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22263,,,,22263,,23978,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,107928,,,,107928,,310205,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,270,,,,270,,1053,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,3,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14172,,,,14172,,22018,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4690,,,,4690,,18226,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,39518,,,,39518,,107548,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,5,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,785,,,,785,,1076,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,3,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3232,,,,3232,,9486,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,794512,,,,794512,,1379474,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,420,,,,420,,1530,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2608,,,,2608,,6784,,,4
H2,2002,2002,2002,4,0,4,Re-Import,124,Canada,CAN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2608,,,,2608,,6784,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28748122,,,,28748122,,37261402,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2822,,,,2822,,6996,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4162,,,,4162,,6837,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50481,,,,50481,,213460,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,105902,,,,105902,,201754,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,104,,,,104,,316,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,93922,,,,93922,,174927,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,34445,,,,34445,,94487,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1343,,,,1343,,3623,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2309,,,,2309,,4955,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21879,,,,21879,,67950,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1680,,,,1680,,5361,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,242,Fiji,FJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,240,,,,240,,1087,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4,,,,4,,11,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19425,,,,19425,,18141,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,67678297,,,,67678297,,205909958,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52824,,,,52824,,97302,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6709,,,,6709,,21881,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5245101,,,,5245101,,13533996,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19983,,,,19983,,58323,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1278684,,,,1278684,,2448394,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,320,Guatemala,GTM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,12,,11,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,332,Haiti,HTI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25000,,,,25000,,32140,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,199,,,,199,,281,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55355,,,,55355,,373779,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1029229,,,,1029229,,1678068,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,364,Iran,IRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,349,,,,349,,1313,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,65,,,,65,,403,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,144019,,,,144019,,374560,,,4
H2,2002,2002,2002,4,0,1,Import,124,Canada,CAN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46651972,,,,46651972,,113981940,,,4
H2,2002,2002,2002,4,0,2,Export,124,Canada,CAN,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1422,,,,1422,,48686,,,4
