Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,503936,,,,503936,,458404,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,166,,,,166,,629,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,43591,,,,43591,,23695,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,226,Equatorial Guinea,GNQ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,22795,,,,22795,,6252,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,127862,,,,127862,,221324,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,17021,,,,17021,,21452,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,14488,,,,14488,,11179,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,10607,,,,10607,,13558,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,191676,,,,191676,,94126,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,44980,,,,44980,,35706,,,2
H0,2000,2000,2000,4,0,1,Import,140,Central African Rep.,CAF,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,30750,,,,30750,,30481,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,756799,,,,756799,,422390,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,119,,,,119,,434,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,160904,,,,160904,,63843,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,226,Equatorial Guinea,GNQ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,53665,,,,53665,,15035,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,118331,,,,118331,,146326,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,12846,,,,12846,,4913,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,324,Guinea,GIN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,37462,,,,37462,,9690,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,31742,,,,31742,,23952,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,331109,,,,331109,,139647,,,2
H0,2001,2001,2001,4,0,1,Import,140,Central African Rep.,CAF,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,10621,,,,10621,,18550,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,406238,,,,406238,,352026,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,66039,,,,66039,,32902,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,113121,,,,113121,,168969,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2301,,,,2301,,2331,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,214453,,,,214453,,91141,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,44,,,,44,,163,,,2
H0,2002,2002,2002,4,0,1,Import,140,Central African Rep.,CAF,899,"Areas, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,10280,,,,10280,,56520,,,2
H0,2003,2003,2003,4,0,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,586205,,,,586205,,460409,,,2
H0,2003,2003,2003,4,0,1,Import,140,Central African Rep.,CAF,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,113080,,,,113080,,48051,,,2
H0,2003,2003,2003,4,0,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,56430,,,,56430,,137350,,,2
