Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1038607,,,,1193321,,8770757,,,0
H2,2002,2002,2002,4,0,2,Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22364,,,,32874,,54330,,,0
H2,2002,2002,2002,4,0,3,Re-Export,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22364,,,,32874,,54330,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,166,,,,167,,1728,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24923,,,,26651,,258982,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,234,,,,234,,1326,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,324,,,,324,,709,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,92,,,,92,,5091,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12248,,,,12619,,42031,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36000,,,,36000,,32044,,,0
H2,2002,2002,2002,4,0,2,Export,446,"China, Macao SAR",MAC,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2100,,,,2100,,5385,,,0
H2,2002,2002,2002,4,0,3,Re-Export,446,"China, Macao SAR",MAC,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2100,,,,2100,,5385,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,158117,,,,190220,,5318175,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6387,,,,6667,,122608,,,0
H2,2002,2002,2002,4,0,2,Export,446,"China, Macao SAR",MAC,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20264,,,,30774,,48945,,,0
H2,2002,2002,2002,4,0,3,Re-Export,446,"China, Macao SAR",MAC,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20264,,,,30774,,48945,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,21,,568,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11717,,,,16805,,357390,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,254,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,30,,1544,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1248,,,,1248,,13273,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,696552,,,,803816,,2104963,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3520,,,,3565,,15432,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,66793,,,,67841,,149271,,,0
H2,2002,2002,2002,4,0,1,Import,446,"China, Macao SAR",MAC,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54,,,,54,,365,,,0
