Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30486829,,,,30486829,,23296248,,,4
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2343978,,,,2343978,,3696569,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,90,,156,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3496985,,,,3496985,,1662880,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,730441,,,,730441,,1635329,,,4
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10909,,,,10909,,24534,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1831,,,,1831,,8442,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,61,,,,61,,820,,,4
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,198270,,,,198270,,442701,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,550,,,,550,,588,,,4
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,116,Cambodia,KHM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,450,,984,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,79712,,,,79712,,222397,,,4
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22,,,,22,,68,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17868459,,,,17868459,,9296396,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,192,Cuba,CUB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,315,,,,315,,645,,,4
H2,2002,2002,2002,4,0,2,Export,156,China,CHN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3150,,,,3150,,5988,,,4
H2,2002,2002,2002,4,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2637081,,,,2637081,,5014592,,,4
