Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8422029,,,,9419821,,11235912,,,0
H2,2002,2002,2002,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,236,,,,387,,864,,,2
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2842250,,,,2734682,,999728,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16117,,,,20003,,63656,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,889,,2747,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,39920,,,,53027,,41587,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3244406,,,,3997038,,5892561,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,210,,,,392,,1812,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,755571,,,,833046,,1803493,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24912,,,,30203,,41955,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,360,,,,360,,492,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1125,,,,1780,,4788,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,241171,,,,292543,,504726,,,0
H2,2002,2002,2002,4,0,2,Export,170,Colombia,COL,530,Neth. Antilles,ANT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,217,,,,384,,847,,,2
H2,2002,2002,2002,4,0,2,Export,170,Colombia,COL,558,Nicaragua,NIC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19,,,,3,,17,,,2
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,252,,,,370,,1114,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1606,,,,2397,,8646,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1082507,,,,1188047,,1480167,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,23,,153,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,324,,,,572,,2386,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,169030,,,,260915,,381237,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,14,,64,,,0
H2,2002,2002,2002,4,0,1,Import,170,Colombia,COL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1797,,,,3520,,4600,,,0
H2,2003,2003,2003,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15950096,,,,8505628,,13670347,,,0
H2,2003,2003,2003,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8307,,,,14198,,14138,,,0
H2,2003,2003,2003,4,0,1,Import,170,Colombia,COL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1001262,,,,1069530,,1010119,,,0
H2,2003,2003,2003,4,0,1,Import,170,Colombia,COL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9497,,,,13099,,15923,,,0
H2,2003,2003,2003,4,0,1,Import,170,Colombia,COL,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,47840,,,,47840,,48951,,,0
