Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,108926,,,,108926,,201066,,,2
H0,2000,2000,2000,4,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,49359,,,,49359,,146045,,,2
H0,2000,2000,2000,4,0,1,Import,174,Comoros,COM,450,Madagascar,MDG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,80,,,,80,,29,,,2
H0,2000,2000,2000,4,0,1,Import,174,Comoros,COM,480,Mauritius,MUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1227,,,,1227,,1185,,,2
H0,2000,2000,2000,4,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,12130,,,,12130,,26625,,,2
H0,2000,2000,2000,4,0,1,Import,174,Comoros,COM,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,46130,,,,46130,,27181,,,2
H0,2001,2001,2001,4,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,48000,,,,89564,,56772,,,0
H0,2001,2001,2001,4,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2982,,,,3264,,13945,,,0
H0,2001,2001,2001,4,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,148,,,,419,,2848,,,0
H0,2001,2001,2001,4,0,1,Import,174,Comoros,COM,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,44702,,,,83462,,36611,,,0
H0,2001,2001,2001,4,0,1,Import,174,Comoros,COM,784,United Arab Emirates,ARE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,168,,,,2419,,3368,,,0
H0,2002,2002,2002,4,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,27538,,,,69256,,54101,,,0
H0,2002,2002,2002,4,0,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,5138,,,,26256,,35672,,,0
H0,2002,2002,2002,4,0,1,Import,174,Comoros,COM,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,20700,,,,21500,,8686,,,0
H0,2002,2002,2002,4,0,1,Import,174,Comoros,COM,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1700,,,,21500,,9743,,,0
H0,2003,2003,2003,4,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,12029,,,,118428,,71848,,,0
