Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7896258,,,,7909984,,5991569,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10218143,,,,10754450,,9657292,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6897,,,,6897,,19325,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13136,,,,14371,,56028,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2192,,,,2192,,8513,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3701,,,,3730,,19643,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72774,,,,78326,,169224,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22,,,,176,,1754,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,3,,67,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44339,,,,44288,,109656,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2016,,,,2016,,12106,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1477659,,,,1481276,,791911,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1238398,,,,1278497,,2943765,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2958,,,,4717,,5764,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,88140,,,,120433,,171533,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17785,,,,18019,,68041,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,258,,,,424,,249,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,65699,,,,65311,,86001,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,150041,,,,151852,,79092,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8445,,,,8445,,16978,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,88331,,,,96976,,500632,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7563,,,,11287,,13282,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77144,,,,84455,,220672,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1664079,,,,1913153,,2920123,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,848627,,,,848611,,295686,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,514,,,,514,,773,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,16,,196,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,713967,,,,714442,,656091,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,319006,,,,319577,,203529,,,0
H2,2002,2002,2002,4,0,2,Export,191,Croatia,HRV,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5288,,,,5301,,15128,,,0
H2,2002,2002,2002,4,0,1,Import,191,Croatia,HRV,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2632,,,,2605,,5906,,,0
