Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3734680,,,,3959568,,7045289,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8284,,,,9314,,28229,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13355,,,,17554,,22061,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1940,,,,2215,,16235,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,96,,1282,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,244,,,,212,,609,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,41,,30,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,83666,,,,92948,,70704,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,262051,,,,299738,,667410,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9954,,,,16673,,41416,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,181,,,,122,,362,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,218,Ecuador,ECU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,5,,27,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26952,,,,28454,,166704,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60,,,,85,,120,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1136,,,,1829,,5094,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,30,,4,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,287811,,,,311028,,582085,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,76,,,,109,,841,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,17,,40,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48,,,,150,,931,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6831,,,,7200,,22490,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3949,,,,3635,,21697,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,530,Neth. Antilles,ANT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20,,,,198,,404,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90,,,,643,,1718,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2025,,,,2025,,9828,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77,,,,81,,224,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4077,,,,5451,,20241,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,194,,,,870,,2021,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3025741,,,,3144081,,5323193,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4,,,,6,,116,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,531,,,,592,,1820,,,6
H2,2003,2003,2003,4,0,2,Export,192,Cuba,CUB,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,1450,,4200,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9040,,,,30215,,85365,,,6
H2,2003,2003,2003,4,0,1,Import,192,Cuba,CUB,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1861,,,,1129,,4246,,,6
H2,2004,2004,2004,4,0,1,Import,192,Cuba,CUB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3463186,,,,4039608,,6955105,,,0
H2,2004,2004,2004,4,0,2,Export,192,Cuba,CUB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18838,,,,27167,,96136,,,0
H2,2004,2004,2004,4,0,1,Import,192,Cuba,CUB,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31825,,,,41932,,78756,,,0
H2,2004,2004,2004,4,0,1,Import,192,Cuba,CUB,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10358,,,,22257,,48316,,,0
H2,2004,2004,2004,4,0,2,Export,192,Cuba,CUB,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,420,,,,339,,865,,,0
H2,2004,2004,2004,4,0,1,Import,192,Cuba,CUB,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12324,,,,9791,,18683,,,0
H2,2004,2004,2004,4,0,2,Export,192,Cuba,CUB,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120,,,,109,,280,,,0
