Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1054082,,,,1054082,,5078705,,,4
H2,2002,2002,2002,4,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6322516,,,,6322516,,6289397,,,4
H2,2002,2002,2002,4,0,3,Re-Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,63625,,,,63625,,558789,,,4
H2,2002,2002,2002,4,0,1,Import,196,Cyprus,CYP,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,103,,,4
H2,2002,2002,2002,4,0,1,Import,196,Cyprus,CYP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25186,,,,25186,,118246,,,4
H2,2002,2002,2002,4,0,2,Export,196,Cyprus,CYP,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31394,,,,31394,,92994,,,4
H2,2002,2002,2002,4,0,1,Import,196,Cyprus,CYP,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,666,,,,666,,7468,,,4
H2,2002,2002,2002,4,0,2,Export,196,Cyprus,CYP,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1541,,,,1541,,3080,,,4
H2,2002,2002,2002,4,0,2,Export,196,Cyprus,CYP,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27,,,,27,,41,,,4
H2,2002,2002,2002,4,0,2,Export,196,Cyprus,CYP,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,33,,,4
H2,2002,2002,2002,4,0,1,Import,196,Cyprus,CYP,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5853,,,,5853,,75951,,,4
H2,2002,2002,2002,4,0,2,Export,196,Cyprus,CYP,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,574,,,,574,,1703,,,4
