Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,102851248,,,,104147342,,46238873,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2786125,,,,3438866,,4239599,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,217,,,,405,,714,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,1640,,1788,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,246936,,,,249970,,126188,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,185647,,,,201750,,420417,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,15887565,,,,15875845,,3863270,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3656,,,,4078,,7179,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,39,,,,45,,202,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,398,,,,493,,1413,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16416,,,,16416,,30152,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1572086,,,,1742675,,1016348,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,829,,,,1473,,2624,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9500,,,,10800,,15549,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,990,,,,1310,,5764,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,147,,,,197,,710,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,698804,,,,890707,,1094493,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,154,,,,259,,881,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,84,,,,84,,390,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,54,,,,108,,189,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,235682,,,,235554,,96718,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,144531,,,,144554,,178322,,,0
H2,2002,2002,2002,4,0,1,Import,203,Czechia,CZE,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9680,,,,11097,,15743,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3990,,,,4258,,27312,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,231,Ethiopia,ETH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,81,,,,138,,321,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,63,,,,108,,628,,,0
H2,2002,2002,2002,4,0,2,Export,203,Czechia,CZE,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,135342,,,,137538,,74106,,,0
