Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,212,Dominica,DMA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,485554,,,,485554,,655522,,,2
H1,2000,2000,2000,4,0,2,Export,212,Dominica,DMA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1202,,,,1202,,8091,,,2
H1,2000,2000,2000,4,0,3,Re-Export,212,Dominica,DMA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1202,,,,1202,,8091,,,2
H1,2000,2000,2000,4,0,1,Import,212,Dominica,DMA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7915,,,,7915,,10810,,,2
H1,2000,2000,2000,4,0,2,Export,212,Dominica,DMA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,146,,,,146,,2778,,,2
H1,2000,2000,2000,4,0,3,Re-Export,212,Dominica,DMA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,146,,,,146,,2778,,,2
H1,2000,2000,2000,4,0,1,Import,212,Dominica,DMA,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,426,,,,426,,1565,,,2
H1,2000,2000,2000,4,0,1,Import,212,Dominica,DMA,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,120,,,,120,,455,,,2
H1,2000,2000,2000,4,0,1,Import,212,Dominica,DMA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35120,,,,35120,,63903,,,2
H1,2000,2000,2000,4,0,2,Export,212,Dominica,DMA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,928,,,,928,,2882,,,2
