Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,7094000,,,0
H1,2001,2001,2001,4,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1353197,,,,1353197,,4841000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,6000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,2349000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,9000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,526000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,24000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,288,Ghana,GHA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,22000,,,0
H1,2001,2001,2001,4,0,2,Export,214,Dominican Rep.,DOM,332,Haiti,HTI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1299375,,,,1299375,,4795000,,,0
H1,2001,2001,2001,4,0,1,Import,214,Dominican Rep.,DOM,352,Iceland,ISL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",1,No Quantity,0,,,,0,,5000,,,0
