Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5130377,,,,5130377,,5482181,,,2
H2,2002,2002,2002,4,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17760,,,,17760,,16320,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,152403,,,,152403,,169307,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,108894,,,,108894,,115549,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3194775,,,,3194775,,3341617,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,225,,,,225,,234,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,284533,,,,284533,,315223,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,257484,,,,257484,,285416,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,279758,,,,279758,,306152,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94458,,,,94458,,117537,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,126,,,,126,,181,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19009,,,,19009,,21824,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,600721,,,,600721,,655454,,,2
H2,2002,2002,2002,4,0,1,Import,218,Ecuador,ECU,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,137991,,,,137991,,153687,,,2
H2,2002,2002,2002,4,0,2,Export,218,Ecuador,ECU,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17760,,,,17760,,16320,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4791665,,,,4791665,,5835179,,,6
H2,2003,2003,2003,4,0,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17347,,,,17347,,23510,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,576559,,,,576559,,677871,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,320,,,,320,,1650,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77,,,,77,,197,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3181123,,,,3181123,,3669660,,,2
H2,2003,2003,2003,4,0,2,Export,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16924,,,,16924,,20626,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,13,,96,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,16,,26,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,192154,,,,192154,,336575,,,6
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,380753,,,,380753,,428250,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,99,,,2
H2,2003,2003,2003,4,0,1,Import,218,Ecuador,ECU,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,82214,,,,82214,,141302,,,2
H2,2003,2003,2003,4,0,2,Export,218,Ecuador,ECU,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,380,,,,380,,2874,,,2
