Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1687034638,,,,1498232459,,3882820156,,,2
H2,2002,2002,2002,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27639963,,,,34042463,,200178965,,,6
H2,2002,2002,2002,4,0,4,Re-Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,105606,,,,112114,,319107,,,0
H2,2002,2002,2002,4,0,1,Import,826,United Kingdom,GBR,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,746,,,,747,,2351,,,0
H2,2002,2002,2002,4,0,2,Export,826,United Kingdom,GBR,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,876,,,,876,,2047,,,0
H2,2002,2002,2002,4,0,2,Export,826,United Kingdom,GBR,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,504,,,,504,,9742,,,0
H2,2002,2002,2002,4,0,2,Export,826,United Kingdom,GBR,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,134,,3179,,,0
H2,2002,2002,2002,4,0,1,Import,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,72,,,,72,,614,,,0
H2,2002,2002,2002,4,0,2,Export,826,United Kingdom,GBR,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,232,,,,1752,,26971,,,0
H2,2002,2002,2002,4,0,2,Export,826,United Kingdom,GBR,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1601,,,,1710,,24887,,,0
