Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7479925,,,,8071281,,14630080,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,97203,,,,97171,,381948,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27,,,,27,,170,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,160101,,,,160101,,358117,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,143857,,,,143450,,536318,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13987,,,,13987,,37251,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,703,,,,703,,2655,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27,,,,27,,91,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,135,,,,135,,335,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,671,,,,671,,3322,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4,,,,4,,24,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,563744,,,,563744,,563162,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,224,,,,224,,1103,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,116,Cambodia,KHM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,12,,50,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,218,,,,218,,976,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,444636,,,,444651,,1144708,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,224,,,,224,,2007,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,75347,,,,75348,,85103,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,143,,,,143,,624,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1706,,,,1706,,4215,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,937,,,,937,,4389,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11989,,,,12046,,10988,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5976,,,,5975,,20828,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1194675,,,,1197096,,3189861,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3712,,,,3672,,18943,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27929,,,,27929,,111611,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,467116,,,,467118,,675386,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5006,,,,5006,,12781,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2223,,,,2223,,7712,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,115,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,491635,,,,491827,,719364,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,167,,,,167,,1486,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1449,,,,1449,,3896,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,917707,,,,929881,,1772339,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,249,,,,249,,979,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,57,,,,57,,542,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,428,Latvia,LVA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,484326,,,,882007,,597683,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,428,Latvia,LVA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53955,,,,53961,,119699,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,430,Liberia,LBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,235,,,,235,,980,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,440,Lithuania,LTU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5318,,,,5318,,26548,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,470,Malta,MLT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,187,,,,187,,736,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2606,,,,2606,,11754,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,498,Rep. of Moldova,MDA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,210762,,,,210762,,283119,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3918,,,,3918,,9983,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5814,,,,5814,,8416,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,152,,,,152,,740,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3670,,,,3670,,22781,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,568,"Other Europe, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,35356,,,,37411,,202746,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,579,Norway,NOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,390,,,,393,,2623,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,584,Marshall Isds,MHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36,,,,36,,54,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,683,,,,683,,1919,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11340,,,,11340,,11002,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,616,Poland,POL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120,,,,120,,702,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22998,,,,22953,,117664,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,642,Romania,ROU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,413723,,,,413723,,663272,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,642,Romania,ROU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,28,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90872,,,,115901,,67316,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,643,Russian Federation,RUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11724,,,,11724,,125737,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18,,,,18,,50,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,181663,,,,181151,,444205,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1074835,,,,1074745,,2142382,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,40,,,0
H2,2002,2002,2002,4,0,2,Export,233,Estonia,EST,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3523,,,,3523,,16254,,,0
H2,2002,2002,2002,4,0,1,Import,233,Estonia,EST,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,310,,,,432,,4906,,,0
