Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1674230,,,,,,4105190,,,2
H1,2000,2000,2000,4,0,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,79234,,,,,,208367,,,2
H1,2000,2000,2000,4,0,1,Import,748,Eswatini,SWZ,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,590,,,,,,1829,,,2
H1,2000,2000,2000,4,0,2,Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,46560,,,,,,128678,,,2
H1,2000,2000,2000,4,0,1,Import,748,Eswatini,SWZ,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19606,,,,,,44753,,,2
H1,2000,2000,2000,4,0,1,Import,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1653545,,,,,,4057113,,,2
H1,2000,2000,2000,4,0,2,Export,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,32675,,,,,,79689,,,2
H1,2000,2000,2000,4,0,1,Import,748,Eswatini,SWZ,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,459,,,,,,1418,,,2
H1,2000,2000,2000,4,0,1,Import,748,Eswatini,SWZ,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,31,,,,,,78,,,2
H1,2001,2001,2001,4,0,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8755309,,,,8755309,,5179883,,,4
H1,2001,2001,2001,4,0,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4044947,,,,4044947,,4505960,,,4
H1,2001,2001,2001,4,0,3,Re-Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1001079,,,,1001079,,411802,,,4
H1,2001,2001,2001,4,0,2,Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4041407,,,,4041407,,4489966,,,4
H1,2001,2001,2001,4,0,3,Re-Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1001079,,,,1001079,,411802,,,4
H1,2001,2001,2001,4,0,1,Import,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8755309,,,,8755309,,5179883,,,4
H1,2001,2001,2001,4,0,2,Export,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3540,,,,3540,,15994,,,4
H1,2002,2002,2002,4,0,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5370902,,,,5370902,,5842234,,,4
H1,2002,2002,2002,4,0,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6091896,,,,6091896,,5059595,,,4
H1,2002,2002,2002,4,0,3,Re-Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4415564,,,,4415564,,3707920,,,4
H1,2002,2002,2002,4,0,2,Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6087164,,,,6087164,,5045348,,,4
H1,2002,2002,2002,4,0,3,Re-Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4415564,,,,4415564,,3707920,,,4
H1,2002,2002,2002,4,0,1,Import,748,Eswatini,SWZ,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4424904,,,,4424904,,4612992,,,4
H1,2002,2002,2002,4,0,1,Import,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,945998,,,,945998,,1229243,,,4
H1,2002,2002,2002,4,0,2,Export,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4732,,,,4732,,14246,,,4
H1,2003,2003,2003,4,0,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4271212,,,,4271212,,4878352,,,4
H1,2003,2003,2003,4,0,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1930797,,,,1930797,,2766367,,,4
H1,2003,2003,2003,4,0,3,Re-Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1668569,,,,1668569,,2674861,,,4
H1,2003,2003,2003,4,0,2,Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1751744,,,,1751744,,2701386,,,4
H1,2003,2003,2003,4,0,3,Re-Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1668569,,,,1668569,,2674861,,,4
H1,2003,2003,2003,4,0,1,Import,748,Eswatini,SWZ,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2374700,,,,2374700,,2590633,,,4
H1,2003,2003,2003,4,0,1,Import,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1896512,,,,1896512,,2287719,,,4
H1,2003,2003,2003,4,0,2,Export,748,Eswatini,SWZ,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,179053,,,,179053,,64980,,,4
H1,2004,2004,2004,4,0,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2124189,,,,2124189,,4955207,,,4
H1,2004,2004,2004,4,0,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1791716,,,,1791716,,2600115,,,4
H1,2004,2004,2004,4,0,3,Re-Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1198096,,,,1198096,,2512432,,,4
H1,2004,2004,2004,4,0,2,Export,748,Eswatini,SWZ,508,Mozambique,MOZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1198096,,,,1198096,,2512432,,,4
