Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,283913,,,,283913,,478646,,,2
H2,2004,2004,2004,4,0,2,Export,231,Ethiopia,ETH,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22757,,,,22757,,28157,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,929,,,,929,,10365,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,80,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,232,Eritrea,ERI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7560,,,,7560,,242,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21195,,,,21195,,100383,,,2
H2,2004,2004,2004,4,0,2,Export,231,Ethiopia,ETH,262,Djibouti,DJI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17536,,,,17536,,22477,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,102230,,,,102230,,183564,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,60,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,115,,,,115,,140,,,2
H2,2004,2004,2004,4,0,2,Export,231,Ethiopia,ETH,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,571,,,,571,,793,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3600,,,,3600,,7852,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1851,,,,1851,,4356,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,146079,,,,146079,,169452,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33,,,,33,,91,,,2
H2,2004,2004,2004,4,0,2,Export,231,Ethiopia,ETH,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4650,,,,4650,,4886,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77,,,,77,,425,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44,,,,44,,116,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,24,,234,,,2
H2,2004,2004,2004,4,0,1,Import,231,Ethiopia,ETH,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,86,,,,86,,1280,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,99204,,,,99204,,199411,,,2
H1,2000,2000,2000,4,0,2,Export,231,Ethiopia,ETH,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19890,,,,19890,,25372,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1057,,,,1057,,6398,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,80,,,,80,,181,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,33210,,,,33210,,64292,,,2
H1,2000,2000,2000,4,0,2,Export,231,Ethiopia,ETH,262,Djibouti,DJI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2700,,,,2700,,3430,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,288,Ghana,GHA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,296,,,,296,,1619,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34938,,,,34938,,49187,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14,,,,14,,473,,,2
H1,2000,2000,2000,4,0,2,Export,231,Ethiopia,ETH,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2250,,,,2250,,2858,,,2
H1,2000,2000,2000,4,0,2,Export,231,Ethiopia,ETH,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1500,,,,1500,,1919,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1568,,,,1568,,8553,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16483,,,,16483,,33251,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2849,,,,2849,,3783,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3038,,,,3038,,11360,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5515,,,,5515,,18621,,,2
H1,2000,2000,2000,4,0,2,Export,231,Ethiopia,ETH,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13440,,,,13440,,17163,,,2
H1,2000,2000,2000,4,0,1,Import,231,Ethiopia,ETH,887,Yemen,YEM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,156,,,,156,,1689,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,349799,,,,349799,,368099,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7136,,,,,,8531,,,6
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,634,,,,634,,4298,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,140,,,,140,,637,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,217,,,,217,,2426,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,24285,,,,24285,,112690,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,262,Djibouti,DJI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6000,,,,6000,,7678,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,283347,,,,283347,,176746,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,110,,,,110,,84,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,384,Côte d'Ivoire,CIV,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,300,,,,300,,82,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,99,,,,99,,1336,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,0,,,,,,0,,,6
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,408,Dem. People's Rep. of Korea,PRK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,210,,,,210,,48,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,524,,,,524,,465,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,96,,,,96,,71,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,37981,,,,37981,,59644,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1367,,,,1367,,5383,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,752,Sweden,SWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,120,,,,120,,82,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,25,,,,25,,57,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1038,,,,1038,,3107,,,2
H1,2001,2001,2001,4,0,2,Export,231,Ethiopia,ETH,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,300,,,,300,,483,,,2
H1,2001,2001,2001,4,0,1,Import,231,Ethiopia,ETH,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,142,,,,142,,1305,,,2
