Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,104016,,,,,,214758,,,2
H2,2003,2003,2003,4,0,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50332,,,,,,76502,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28359,,,,,,65263,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,129,,,,,,219,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3641,,,,,,9074,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30,,,,,,120,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,251,,,,,,732,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44,,,,,,179,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,583,FS Micronesia,FSM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50332,,,,,,76502,,,2
H2,2003,2003,2003,4,0,4,Re-Import,583,FS Micronesia,FSM,583,FS Micronesia,FSM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50332,,,,,,76502,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,608,Philippines,PHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,97,,,,,,374,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18334,,,,,,50969,,,2
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2799,,,,,,11326,,,2
H2,2004,2004,2004,4,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,62076,,,,,,165718,,,2
H2,2004,2004,2004,4,0,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23527,,,,,,61054,,,2
H2,2004,2004,2004,4,0,1,Import,583,FS Micronesia,FSM,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21,,,,,,96,,,2
H2,2004,2004,2004,4,0,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3834,,,,,,10939,,,2
