Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,899982,,,,899982,,3541178,,,2
H2,2003,2003,2003,4,0,2,Export,242,Fiji,FJI,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24361,,,,24361,,60551,,,2
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,624115,,,,624115,,2411663,,,2
H2,2003,2003,2003,4,0,2,Export,242,Fiji,FJI,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2608,,,,2608,,12719,,,2
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,630,,,,630,,6370,,,2
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,128,,,,128,,78,,,2
H2,2003,2003,2003,4,0,2,Export,242,Fiji,FJI,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,720,,,,720,,1877,,,2
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20349,,,,20349,,112530,,,2
H2,2003,2003,2003,4,0,2,Export,242,Fiji,FJI,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,108,,,,108,,323,,,2
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10233,,,,10233,,33464,,,2
H2,2003,2003,2003,4,0,1,Import,242,Fiji,FJI,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1077,,,,1077,,2616,,,2
