Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,458063158,,,,436149620,,438150144,,,4
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1547640867,,,,1638101650,,5393313574,,,4
H2,2002,2002,2002,4,0,4,Re-Import,251,France,FRA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2859463,,,,2888800,,44959963,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52000,,,,56000,,27366,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11440,,,,20800,,49092,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13498,,,,16700,,33987,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,10,Antarctica,ATA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,170,,,,200,,2832,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2734408,,,,2919900,,2917811,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2019450,,,,2083000,,1264130,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,266308,,,,320525,,2178948,,,4
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,73238,,,,68700,,371025,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,369,,,,400,,8493,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,211150,,,,214100,,624984,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18606,,,,20700,,72695,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1647625,,,,1717200,,2849868,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14409,,,,22500,,117067,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7160517,,,,7042462,,19531973,,,4
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2688355,,,,3208654,,26720435,,,4
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18363,,,,19100,,74550,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6167188,,,,6358800,,25851877,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,409119,,,,418396,,2107198,,,4
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,277668,,,,288100,,1075313,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,45002,,,,46500,,158606,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8010,,,,8700,,17930,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,734,,,,2000,,11329,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,214866,,,,224900,,1707850,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,660178,,,,709540,,3254700,,,4
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,177174144,,,,189994600,,534171745,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,450,,,,500,,11324,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,188770,,,,209600,,1853239,,,0
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,64,Bhutan,BTN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,563,,,,600,,1887,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26250,,,,31600,,86856,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28790,,,,53281,,82135,,,4
H2,2002,2002,2002,4,0,1,Import,251,France,FRA,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16191,,,,16400,,50014,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2637230,,,,2868900,,13625978,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26962,,,,32600,,255847,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,92,Br. Virgin Isds,VGB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,63837,,,,67500,,667468,,,0
H2,2002,2002,2002,4,0,2,Export,251,France,FRA,96,Brunei Darussalam,BRN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,78,,,,100,,3776,,,0
