Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4933780,,,,4933780,,12756032,,,2
H2,2003,2003,2003,4,0,2,Export,258,French Polynesia,PYF,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,580,,,,580,,4833,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1100,,,,1100,,3127,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,110,,,,110,,474,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6750,,,,6750,,32599,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,95,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,140,Central African Rep.,CAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,220,,,,220,,3696,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,230580,,,,230580,,174462,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,360,,,,360,,2369,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3056980,,,,3056980,,11128633,,,2
H2,2003,2003,2003,4,0,2,Export,258,French Polynesia,PYF,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,410,,,,410,,3885,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,95,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,400,,,,400,,663,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5250,,,,5250,,28240,,,2
H2,2003,2003,2003,4,0,2,Export,258,French Polynesia,PYF,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40,,,,40,,190,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2290,,,,2290,,5307,,,2
H2,2003,2003,2003,4,0,1,Import,258,French Polynesia,PYF,540,New Caledonia,NCL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,50,,,,50,,284,,,2
