Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7102591,,,,7102591,,6690148,,,2
H2,2004,2004,2004,4,0,2,Export,266,Gabon,GAB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36000,,,,36000,,28894,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13,,,,13,,12,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13585,,,,13585,,16899,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,31427,,,,31427,,16491,,,2
H2,2004,2004,2004,4,0,2,Export,266,Gabon,GAB,120,Cameroon,CMR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,36000,,,,36000,,28894,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1107,,,,1107,,596,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1101933,,,,1101933,,3085743,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14758,,,,14758,,17354,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,655,,,,655,,828,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,473,"LAIA, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25534,,,,25534,,33415,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38340,,,,38340,,520,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5875234,,,,5875234,,3518276,,,2
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,768,Togo,TGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5,,,,5,,13,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9104714,,,,9104714,,6840007,,,2
H1,2000,2000,2000,4,0,2,Export,266,Gabon,GAB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2619,,,,2619,,11008,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,12,Algeria,DZA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,606,,,,606,,304,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,24052,,,,24052,,14878,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,29450,,,,29450,,9669,,,2
H1,2000,2000,2000,4,0,2,Export,266,Gabon,GAB,120,Cameroon,CMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,765,,,,765,,1869,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,154,,,,154,,144,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,89,,,,89,,2117,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3401783,,,,3401783,,3750938,,,2
H1,2000,2000,2000,4,0,2,Export,266,Gabon,GAB,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1854,,,,1854,,9140,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,126,,,,126,,463,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,61156,,,,61156,,58254,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,504,Morocco,MAR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27,,,,27,,96,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,10,,,,10,,234,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,566,Nigeria,NGA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6,,,,6,,43,,,2
H1,2000,2000,2000,4,0,1,Import,266,Gabon,GAB,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1878,,,,1878,,5570,,,2
