Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5723,,,,5716,,2132,,,0
H1,2002,2002,2002,4,0,2,Export,270,Gambia,GMB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,64,,1594,,,0
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1200,,,,1200,,241,,,0
H1,2002,2002,2002,4,0,2,Export,270,Gambia,GMB,372,Ireland,IRL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,27,,836,,,0
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,645,,,,540,,379,,,0
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,270,,,,270,,161,,,0
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3600,,,,3600,,700,,,0
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6,,,,103,,610,,,0
H1,2002,2002,2002,4,0,2,Export,270,Gambia,GMB,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16,,,,37,,758,,,0
H1,2002,2002,2002,4,0,1,Import,270,Gambia,GMB,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,3,,40,,,0
H1,2003,2003,2003,4,0,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,167193,,,,98363,,34763,,,0
H1,2003,2003,2003,4,0,1,Import,270,Gambia,GMB,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,270,,,,27,,493,,,0
H1,2003,2003,2003,4,0,1,Import,270,Gambia,GMB,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9855,,,,20480,,8558,,,0
H1,2003,2003,2003,4,0,1,Import,270,Gambia,GMB,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1167,,,,2986,,1716,,,0
H1,2003,2003,2003,4,0,1,Import,270,Gambia,GMB,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3650,,,,3920,,3373,,,0
