Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,208519,,,,224364,,149821,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15908108,,,,20973796,,28991497,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,67029,,,,67029,,14642,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34535,,,,56250,,28882,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,51,Armenia,ARM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,94089,,,,94089,,27919,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,51,Armenia,ARM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3240,,,,4645,,7441,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,64,Bhutan,BTN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,91000,,,,91000,,22750,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14740,,,,14875,,15499,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,112,Belarus,BLR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,73782,,,,119064,,276152,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,203,Czechia,CZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15552,,,,24486,,50872,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,656,,,,1033,,9187,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,233,Estonia,EST,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,23932,,,,41470,,86365,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20502,,,,26845,,52025,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,18,,5,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2644,,,,2647,,9050,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2507,,,,2562,,1509,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,332,Haiti,HTI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20,,,,33,,78,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,376,Israel,ISR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9000,,,,9000,,13241,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,72,,,,72,,400,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,113,,,,194,,355,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,392,Japan,JPN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,31968,,,,51972,,121426,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,398,Kazakhstan,KAZ,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,192555,,,,387886,,825864,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,410,Rep. of Korea,KOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8,,,,16,,48,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,428,Latvia,LVA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,85811,,,,147749,,245101,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,440,Lithuania,LTU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,136925,,,,185927,,231362,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20800,,,,38421,,86408,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,643,Russian Federation,RUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7782,,,,16478,,13381,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,643,Russian Federation,RUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14034696,,,,17933857,,23079790,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,702,Singapore,SGP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,171,,,,314,,523,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,147,,,,208,,201,,,0
H1,2000,2000,2000,4,0,1,Import,268,Georgia,GEO,792,Turkey,TUR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1005,,,,1296,,7718,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,792,Turkey,TUR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,30,,47,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,795,Turkmenistan,TKM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,25440,,,,47140,,29322,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,804,Ukraine,UKR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,830361,,,,1324597,,2854542,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,81493,,,,129842,,206001,,,0
H1,2000,2000,2000,4,0,2,Export,268,Georgia,GEO,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,214016,,,,377115,,823213,,,0
H1,2001,2001,2001,4,0,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1005874,,,,1015734,,333894,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16707945,,,,22218590,,32260236,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,8,Albania,ALB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,24012,,,,39218,,121252,,,0
H1,2001,2001,2001,4,0,1,Import,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,928650,,,,928650,,92865,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,28260,,,,48984,,18840,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1912,,,,3457,,6124,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,51,Armenia,ARM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1906,,,,3000,,3944,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,112,Belarus,BLR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,204117,,,,317997,,682326,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,25,,,,25,,20,,,0
H1,2001,2001,2001,4,0,1,Import,268,Georgia,GEO,140,Central African Rep.,CAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,15,,58,,,0
H1,2001,2001,2001,4,0,2,Export,268,Georgia,GEO,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,190147,,,,190169,,110918,,,0
