Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1229728557,,,,1229727500,,1796318000,,,6
H2,2002,2002,2002,4,0,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,245950571,,,,245939200,,421452000,,,6
H2,2002,2002,2002,4,0,2,Export,276,Germany,DEU,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29800,,,,29800,,111000,,,6
H2,2002,2002,2002,4,0,2,Export,276,Germany,DEU,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5400,,,,5400,,16000,,,6
H2,2002,2002,2002,4,0,1,Import,276,Germany,DEU,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46400,,,,46400,,135000,,,6
H2,2002,2002,2002,4,0,1,Import,276,Germany,DEU,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,500,,,,500,,1000,,,6
H2,2002,2002,2002,4,0,2,Export,276,Germany,DEU,31,Azerbaijan,AZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,38300,,,,38300,,175000,,,6
H2,2002,2002,2002,4,0,1,Import,276,Germany,DEU,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3698200,,,,3698200,,6059000,,,6
H2,2002,2002,2002,4,0,2,Export,276,Germany,DEU,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16000,,,,16000,,52000,,,6
H2,2002,2002,2002,4,0,1,Import,276,Germany,DEU,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21107300,,,,21107300,,52588000,,,6
H2,2002,2002,2002,4,0,2,Export,276,Germany,DEU,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,575400,,,,575400,,1590000,,,6
H2,2002,2002,2002,4,0,1,Import,276,Germany,DEU,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,46299100,,,,46299100,,28750000,,,6
