Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17649430,,,,12533596,,41800640,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,23459245,,,,30604461,,47536626,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1092,,,,1204,,2818,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,48871,,,,98895,,97180,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,772,,,,426,,1999,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19052,,,,5672,,49328,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,145460,,,,284131,,321540,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2196,,,,5091,,5686,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,408588,,,,587084,,1034541,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,98885,,,,21847,,382515,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,908,,,,3700,,2350,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,58827,,,,37539,,176794,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,898153,,,,1144713,,2291959,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16027,,,,24028,,16898,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14189,,,,23088,,44661,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9195,,,,11330,,23722,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,705952,,,,1066268,,1817585,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,18492,,,,9604,,47878,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,14737,,,,28641,,38018,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3073,,,,1593,,7928,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5709,,,,7198,,14728,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1207,,,,960,,3113,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,797576,,,,384216,,819084,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,196,Cyprus,CYP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,242403,,,,177276,,506498,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,90618,,,,169526,,233778,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,319636,,,,503275,,825044,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,231,Ethiopia,ETH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1838,,,,7750,,4741,,,2
H2,2002,2002,2002,4,0,2,Export,300,Greece,GRC,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,128662,,,,160624,,331990,,,2
H2,2002,2002,2002,4,0,1,Import,300,Greece,GRC,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12010595,,,,2153367,,32566572,,,2
