Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,510792,,,,448774,,2400596,,,6
H2,2002,2002,2002,4,0,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29,,,,29,,15,,,0
H2,2002,2002,2002,4,0,1,Import,304,Greenland,GRL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,225,,,,999,,2226,,,0
H2,2002,2002,2002,4,0,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,190163,,,,125214,,927564,,,6
H2,2002,2002,2002,4,0,2,Export,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29,,,,29,,15,,,0
H2,2002,2002,2002,4,0,1,Import,304,Greenland,GRL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,207,,,,207,,1439,,,0
H2,2002,2002,2002,4,0,1,Import,304,Greenland,GRL,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,320197,,,,322354,,1469367,,,0
H2,2003,2003,2003,4,0,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,772587,,,,793993,,3251140,,,2
H2,2003,2003,2003,4,0,4,Re-Import,304,Greenland,GRL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27,,,,27,,234,,,0
H2,2003,2003,2003,4,0,1,Import,304,Greenland,GRL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8652,,,,8623,,44961,,,0
H2,2003,2003,2003,4,0,1,Import,304,Greenland,GRL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26708,,,,25497,,131241,,,0
H2,2003,2003,2003,4,0,1,Import,304,Greenland,GRL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,43,,,0
H2,2003,2003,2003,4,0,1,Import,304,Greenland,GRL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,476,,,,476,,1486,,,0
