Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,453520,,,,453520,,684527,,,2
H1,2000,2000,2000,4,0,2,Export,308,Grenada,GRD,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,136,,,,136,,1830,,,2
H1,2000,2000,2000,4,0,3,Re-Export,308,Grenada,GRD,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,136,,,,136,,1830,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4449,,,,4449,,14373,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4950,,,,4950,,19584,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,40,Austria,AUT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,25,,,,25,,82,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,183,,,,183,,764,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,104,Myanmar,MMR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,2,,36,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,89,,,,89,,154,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,57474,,,,57474,,116011,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,22,,,,22,,80,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,2,,19,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,54024,,,,54024,,96046,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,358,,,,358,,616,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35845,,,,35845,,57127,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,388,Jamaica,JAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9640,,,,9640,,20931,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,404,Kenya,KEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,1,,3,,,2
H1,2000,2000,2000,4,0,2,Export,308,Grenada,GRD,579,Norway,NOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,61,,,,61,,736,,,2
H1,2000,2000,2000,4,0,3,Re-Export,308,Grenada,GRD,579,Norway,NOR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,61,,,,61,,736,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,591,Panama,PAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,1,,3,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,662,Saint Lucia,LCA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14095,,,,14095,,10409,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,670,Saint Vincent and the Grenadines,VCT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5760,,,,5760,,7536,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,28,,,,28,,3,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35437,,,,35437,,52597,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8208,,,,8208,,11513,,,2
H1,2000,2000,2000,4,0,2,Export,308,Grenada,GRD,752,Sweden,SWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,75,,,,75,,1094,,,2
H1,2000,2000,2000,4,0,3,Re-Export,308,Grenada,GRD,752,Sweden,SWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,75,,,,75,,1094,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,75,,,,75,,1115,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4800,,,,4800,,7800,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13176,,,,13176,,24231,,,2
H1,2000,2000,2000,4,0,1,Import,308,Grenada,GRD,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,204876,,,,204876,,243493,,,2
H1,2001,2001,2001,4,0,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,313573,,,,313573,,505344,,,2
H1,2001,2001,2001,4,0,2,Export,308,Grenada,GRD,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,31,,,,31,,927,,,2
H1,2001,2001,2001,4,0,3,Re-Export,308,Grenada,GRD,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,31,,,,31,,927,,,2
H1,2001,2001,2001,4,0,1,Import,308,Grenada,GRD,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5,,,,5,,7,,,2
H1,2001,2001,2001,4,0,1,Import,308,Grenada,GRD,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2263,,,,2263,,7004,,,2
