Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1907535,,,,1907535,,4034556,,,6
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,39118,,,,39118,,135124,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,58919,,,,58919,,109936,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,222,,,,222,,1207,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,482,,,,482,,888,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17155,,,,17155,,40997,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1611,,,,1611,,3598,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,132,Cabo Verde,CPV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52,,,,52,,195,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,582537,,,,582537,,1124175,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,474,,,,474,,927,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17265,,,,17265,,31776,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9550,,,,9550,,17642,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11290,,,,11290,,36567,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7,,,,7,,29,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1844,,,,1844,,3558,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21317,,,,21317,,69163,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,221834,,,,221834,,556086,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,126338,,,,126338,,251817,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,340,Honduras,HND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28,,,,28,,159,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,340,Honduras,HND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1991,,,,1991,,5581,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,223683,,,,223683,,431599,,,6
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2265,,,,2265,,8626,,,6
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,640,,,,640,,1234,,,6
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,636,,,,636,,2387,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28606,,,,28606,,65339,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,600,Paraguay,PRY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44,,,,44,,168,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,16,,61,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,604,Peru,PER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2302,,,,2302,,17155,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10,,,,10,,116,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,704,Viet Nam,VNM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,8,,30,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8465,,,,8465,,15754,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,412672,,,,412672,,922386,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,752,Sweden,SWE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5847,,,,5847,,11357,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,47,,,,47,,87,,,6
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,550,,,,550,,1012,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44,,,,44,,82,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,125985,,,,125985,,270716,,,2
H2,2002,2002,2002,4,0,2,Export,320,Guatemala,GTM,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,125,,,,125,,2113,,,2
H2,2002,2002,2002,4,0,1,Import,320,Guatemala,GTM,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12773,,,,12773,,23509,,,2
