Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,398924,,,,398924,,193087,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7055,,,,7055,,13746,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,117227,,,,117227,,72675,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,120,,,,120,,311,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1987,,,,1987,,1063,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,269607,,,,269607,,104579,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2923,,,,2923,,665,,,2
H1,2000,2000,2000,4,0,1,Import,324,Guinea,GIN,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5,,,,5,,48,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,886771,,,,886771,,373262,,,2
H1,2001,2001,2001,4,0,2,Export,324,Guinea,GIN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,22716,,,,22716,,3589,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,12,Algeria,DZA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,416,,,,416,,714,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1771,,,,1771,,3458,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,35,,,,35,,265,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,150899,,,,150899,,148796,,,2
H1,2001,2001,2001,4,0,2,Export,324,Guinea,GIN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,22716,,,,22716,,3589,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,765,,,,765,,940,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,694,Sierra Leone,SLE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21420,,,,21420,,9189,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,619200,,,,619200,,170410,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,784,United Arab Emirates,ARE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,54008,,,,54008,,26743,,,2
H1,2001,2001,2001,4,0,1,Import,324,Guinea,GIN,788,Tunisia,TUN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,11740,,,,11740,,4074,,,2
