Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20536,,,,30996,,133990,,,0
H1,2000,2000,2000,4,0,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,324788,,,,3806,,4708,,,0
H1,2000,2000,2000,4,0,3,Re-Export,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1020,,,,490,,669,,,0
H1,2000,2000,2000,4,0,2,Export,328,Guyana,GUY,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1648,,,,876,,1141,,,0
H1,2000,2000,2000,4,0,2,Export,328,Guyana,GUY,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12464,,,,177,,69,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34,,,,58,,189,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3161,,,,5902,,7064,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3049,,,,2785,,16705,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,34,,76,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,364,Iran,IRN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3336,,,,3567,,23624,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,372,Ireland,IRL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3336,,,,3667,,25748,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,1,,6,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,484,Mexico,MEX,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21,,,,39,,111,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,642,Romania,ROU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,61,,,,20,,150,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,52,,,,25,,127,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16,,,,20,,37,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,343,,,,5339,,5371,,,0
H1,2000,2000,2000,4,0,2,Export,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12,,,,90,,13,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6121,,,,6196,,53325,,,0
H1,2000,2000,2000,4,0,1,Import,328,Guyana,GUY,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,987,,,,3343,,1457,,,0
H1,2000,2000,2000,4,0,2,Export,328,Guyana,GUY,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,309939,,,,1993,,2729,,,0
H1,2000,2000,2000,4,0,3,Re-Export,328,Guyana,GUY,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,420,,,,35,,66,,,0
H1,2000,2000,2000,4,0,2,Export,328,Guyana,GUY,862,Venezuela,VEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,725,,,,670,,756,,,0
H1,2000,2000,2000,4,0,3,Re-Export,328,Guyana,GUY,862,Venezuela,VEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,600,,,,455,,603,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19851,,,,34104,,121894,,,0
H1,2001,2001,2001,4,0,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,70524,,,,14375,,12842,,,0
H1,2001,2001,2001,4,0,3,Re-Export,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,88,,,,480,,427,,,0
H1,2001,2001,2001,4,0,2,Export,328,Guyana,GUY,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6,,,,230,,595,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,64,,,,24,,13,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8187,,,,13164,,20761,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,17,,25,,,0
H1,2001,2001,2001,4,0,2,Export,328,Guyana,GUY,214,Dominican Rep.,DOM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,450,,,,720,,757,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6282,,,,10021,,60183,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,300,Greece,GRC,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,36,,,,67,,150,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,372,Ireland,IRL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,27,,,,50,,110,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,388,Jamaica,JAM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,34,,109,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,484,Mexico,MEX,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,33,,86,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,151,,,,281,,651,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,60,,,,84,,103,,,0
H1,2001,2001,2001,4,0,2,Export,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6300,,,,11900,,10083,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,857,,,,546,,5315,,,0
H1,2001,2001,2001,4,0,1,Import,328,Guyana,GUY,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4142,,,,9783,,34387,,,0
H1,2001,2001,2001,4,0,2,Export,328,Guyana,GUY,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,63290,,,,459,,323,,,0
H1,2001,2001,2001,4,0,2,Export,328,Guyana,GUY,862,Venezuela,VEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,478,,,,1066,,1083,,,0
H1,2001,2001,2001,4,0,3,Re-Export,328,Guyana,GUY,862,Venezuela,VEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,88,,,,480,,427,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,48612,,,,39500,,69205,,,0
H1,2002,2002,2002,4,0,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,19906,,,,11165,,10492,,,0
H1,2002,2002,2002,4,0,2,Export,328,Guyana,GUY,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,80,,,,210,,1020,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,540,,,,756,,1989,,,0
H1,2002,2002,2002,4,0,2,Export,328,Guyana,GUY,52,Barbados,BRB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,104,,,,130,,25,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18,,,,34,,39,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,32636,,,,10435,,11688,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,55,,,,585,,204,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2361,,,,4899,,20781,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,11,,,,6,,131,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1836,,,,2570,,6554,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,108,,,,202,,490,,,0
H1,2002,2002,2002,4,0,1,Import,328,Guyana,GUY,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,81,,,,151,,323,,,0
H1,2002,2002,2002,4,0,2,Export,328,Guyana,GUY,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,4,,,,10,,10,,,0
