Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1167560,,,,1167560,,1489089,,,2
H2,2003,2003,2003,4,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8243,,,,8243,,21944,,,2
H2,2003,2003,2003,4,0,3,Re-Export,340,Honduras,HND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8243,,,,8243,,21944,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,4,Afghanistan,AFG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,779,,,,779,,781,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1086,,,,1086,,1403,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,10,Antarctica,ATA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,293,,,,293,,652,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,16,American Samoa,ASM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2362,,,,2362,,2005,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1920,,,,1920,,2361,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,24,Angola,AGO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,570,,,,570,,3059,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2085,,,,2085,,2722,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,31,Azerbaijan,AZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,217,,,,217,,294,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22482,,,,22482,,35055,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5026,,,,5026,,4996,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2332,,,,2332,,2148,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1434,,,,1434,,1405,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,50,Bangladesh,BGD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3443,,,,3443,,3198,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,813,,,,813,,1120,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,775,,,,775,,1359,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,508,,,,508,,865,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,70,Bosnia Herzegovina,BIH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1647,,,,1647,,2620,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7477,,,,7477,,9516,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,186,,,,186,,252,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,132,,,,132,,179,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,276002,,,,276002,,398780,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2455,,,,2455,,1472,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1250,,,,1250,,836,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,365,,,,365,,493,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,188,Costa Rica,CRI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1105,,,,1105,,1449,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,642,,,,642,,1361,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,583,,,,583,,1017,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,218,Ecuador,ECU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2574,,,,2574,,1465,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,222,El Salvador,SLV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,701,,,,701,,635,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,89660,,,,89660,,124247,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40296,,,,40296,,59206,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,488,,,,488,,777,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1416,,,,1416,,1025,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,304,Greenland,GRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16,,,,16,,18,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,320,Guatemala,GTM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7968,,,,7968,,7879,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,328,Guyana,GUY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,102,,,,102,,162,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,29,,,,29,,15,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,179,,,,179,,1225,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,131157,,,,131157,,100529,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6062,,,,6062,,4442,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,10,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3320,,,,3320,,2222,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,530,Neth. Antilles,ANT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,157,,,,157,,258,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,533,Aruba,ABW,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,721,,,,721,,2262,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,558,Nicaragua,NIC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,916,,,,916,,1632,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,579,Norway,NOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,628,,,,628,,1151,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3644,,,,3644,,14668,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,600,Paraguay,PRY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,544,,,,544,,640,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3276,,,,3276,,2456,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,642,Romania,ROU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,115,,,,115,,210,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,660,Anguilla,AIA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,686,,,,686,,971,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,682,Saudi Arabia,SAU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19,,,,19,,781,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,433,,,,433,,726,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1007,,,,1007,,1369,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,134671,,,,134671,,179044,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10678,,,,10678,,15006,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,780,Trinidad and Tobago,TTO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,94,,,,94,,172,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,784,United Arab Emirates,ARE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1304,,,,1304,,1523,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,800,Uganda,UGA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,344,,,,344,,546,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,901,,,,901,,725,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,382173,,,,382173,,475698,,,2
H2,2003,2003,2003,4,0,2,Export,340,Honduras,HND,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8243,,,,8243,,21944,,,2
H2,2003,2003,2003,4,0,3,Re-Export,340,Honduras,HND,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8243,,,,8243,,21944,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,522,,,,522,,615,,,2
H2,2003,2003,2003,4,0,1,Import,340,Honduras,HND,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2787,,,,2787,,3381,,,2
H2,2004,2004,2004,4,0,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1276310,,,,1276310,,1606830,,,2
H2,2004,2004,2004,4,0,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25089,,,,25089,,89793,,,2
H2,2004,2004,2004,4,0,3,Re-Export,340,Honduras,HND,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10986,,,,10986,,29709,,,2
