Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5439200,,,,5439200,,5237000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,76866200,,,,76866200,,64034000,,,2
H2,2002,2002,2002,4,0,1,Import,348,Hungary,HUN,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3400,,,,3400,,4000,,,2
H2,2002,2002,2002,4,0,1,Import,348,Hungary,HUN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6700,,,,6700,,15000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,21100,,,,21100,,37000,,,2
H2,2002,2002,2002,4,0,1,Import,348,Hungary,HUN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,298800,,,,298800,,86000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1034300,,,,1034300,,796000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,106500,,,,106500,,212000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5000,,,,5000,,10000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1018700,,,,1018700,,254000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,112,Belarus,BLR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,811000,,,,811000,,474000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,889100,,,,889100,,1352000,,,2
H2,2002,2002,2002,4,0,1,Import,348,Hungary,HUN,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,25500,,,,25500,,40000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,97400,,,,97400,,184000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,191,Croatia,HRV,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,800600,,,,800600,,268000,,,2
H2,2002,2002,2002,4,0,1,Import,348,Hungary,HUN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,40000,,,,40000,,19000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9583300,,,,9583300,,4321000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2137700,,,,2137700,,1112000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,523600,,,,523600,,663000,,,2
H2,2002,2002,2002,4,0,2,Export,348,Hungary,HUN,246,Finland,FIN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2572200,,,,2572200,,1749000,,,2
