Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4195433,,,,2593221,,10021999,,,6
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,649,,,,193,,4440,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60327,,,,42303,,156195,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,399363,,,,210077,,982953,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,129,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7153,,,,4526,,18551,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1471,,,,369,,3240,,,6
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,60,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,174,,,,180,,450,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8318,,,,2775,,20318,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,489600,,,,347129,,1273622,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,950,,,,612,,2538,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,203,Czechia,CZE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,189,,,,50,,489,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,182,,,,59,,391,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,344,,,,128,,1461,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1195076,,,,691045,,2311818,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,56,,,,15,,835,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,93718,,,,66796,,233793,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,86,,,,4,,222,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,300,Greece,GRC,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,853,,,,487,,2208,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3476,,,,1461,,9000,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,372,Ireland,IRL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,221,,,,65,,430,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,376,Israel,ISR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,404,,,,137,,1046,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,545066,,,,374202,,1421089,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3669,,,,621,,3361,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,422,Lebanon,LBN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1378,,,,303,,3568,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,442,Luxembourg,LUX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1667,,,,720,,4824,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,442,Luxembourg,LUX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2,,,,2,,117,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,484,Mexico,MEX,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4891,,,,1806,,12561,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1102,,,,921,,2853,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,258,,,,133,,667,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,24,,,,4,,89,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,16607,,,,7311,,43729,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,554,New Zealand,NZL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1,,,,1,,31,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,76943,,,,46528,,193683,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,642,Romania,ROU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1199,,,,682,,3105,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,703,Slovakia,SVK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1362,,,,1074,,3773,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,171484,,,,113794,,444211,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,727032,,,,423640,,1883862,,,6
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3,,,,3,,243,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,757,Switzerland,CHE,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,776,,,,532,,2016,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,788,Tunisia,TUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,188,,,,134,,487,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,792,Turkey,TUR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12,,,,3,,32,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,27844,,,,14765,,67551,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,28,,,,18,,866,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,351969,,,,237793,,912261,,,2
H2,2002,2002,2002,4,0,2,Export,352,Iceland,ISL,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,101,,,,13,,387,,,2
H2,2002,2002,2002,4,0,1,Import,352,Iceland,ISL,858,Uruguay,URY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,511,,,,189,,1324,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4969262,,,,2904241,,13044339,,,2
H2,2003,2003,2003,4,0,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12040,,,,621,,36709,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60810,,,,49943,,176400,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,541153,,,,245736,,1568084,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,13210,,,,7102,,38698,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6996,,,,845,,20712,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,66,,,,79,,191,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,17073,,,,6207,,49713,,,2
H2,2003,2003,2003,4,0,1,Import,352,Iceland,ISL,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,475260,,,,364880,,1350979,,,2
